year,display_year,army_mid_thousands,army_low_thousands,army_high_thousands,iron_mid_kg_per_soldier,iron_low_kg_per_soldier,iron_high_kg_per_soldier,combat_iron_mid_tonnes,estimate_type,source_keys,notes
-500,500 BCE,9,6,12,1.4,0.8,2.2,12.6,reconstruction,CORNELL1995;EARLY_ARMY,"Two early levies; weapons dominated the small iron burden and most infantry lacked metal body armor."
-400,400 BCE,18,12,24,1.8,1.0,2.8,32.4,reconstruction,CORNELL1995;EARLY_ARMY,"Expanded Latin alliance; central estimate represents two Roman levies plus allied contingents."
-300,300 BCE,40,25,55,2.5,1.4,3.8,100.0,reconstruction,CORNELL1995;ACOU_PILUM,"Four-legion consular norm plus allied alae; metal armor still socially graded."
-250,250 BCE,80,55,110,3.5,2.1,5.2,280.0,reconstruction,POLYBIUS6;ACOU_MAIL,"First Punic War mobilization; mail adoption beginning among wealthier infantry."
-225,225 BCE,156,130,180,4.5,2.8,6.3,702.0,ancient_anchor,POLYBIUS2_24;ACOU_SOCII;ACOU_MAIL,"Polybius reports more than 150,000 infantry and 6,000 cavalry actually defending Rome; this is not his much larger liability register."
-212,212 BCE,250,200,300,5.0,3.2,7.0,1250.0,modeled_from_units,LIVY25_LEGIONS;ACOU_SOCII;ACOU_MAIL,"Twenty-five citizen legions in service near the wartime peak, expanded with allied formations; strength per unit is uncertain."
-200,200 BCE,100,75,140,5.5,3.5,7.5,550.0,reconstruction,BRUNT1971;ACOU_MAIL,"Postwar drawdown but sustained overseas commitments; mail increasingly common."
-167,167 BCE,65,45,90,6.5,4.2,8.5,422.5,reconstruction,BRUNT1971;ACOU_MAIL,"Lower peacetime establishment after the Macedonian wars."
-100,100 BCE,90,60,130,8.0,5.5,10.5,720.0,reconstruction,BRUNT1971;ACOU_GLADIUS,"Late Republican armies; mail is standard for legionary heavy infantry."
-49,49 BCE,300,220,400,8.5,6.0,11.0,2550.0,modeled_from_units,CIVIL_WAR_LEGIONS;ACOU_GLADIUS,"Civil-war peak across competing Roman armies; the central estimate converts roughly sixty nominal legions and associated troops to personnel."
-27,27 BCE,250,210,310,8.5,6.0,11.0,2125.0,reconstruction,CAMPBELL1994;TACITUS4_5,"Augustan settlement and demobilization toward twenty-eight permanent legions plus auxiliaries and other forces."
14,14 CE,250,220,300,8.5,6.0,11.0,2125.0,ancient_plus_modern,TACITUS4_5;CAMPBELL1994,"Twenty-eight legions and a broadly comparable auxiliary establishment; fleets and Rome garrison add definitional uncertainty."
70,70 CE,300,260,350,8.5,6.0,11.0,2550.0,reconstruction,CAMPBELL1994;HASSALL2000,"Flavian standing army after civil war, including auxiliaries."
117,117 CE,330,280,390,8.5,6.0,11.0,2805.0,reconstruction,CAMPBELL1994;HASSALL2000,"Trajanic maximum; roughly thirty legions plus auxiliaries, fleets, and specialist formations."
200,200 CE,380,320,450,8.5,6.0,11.0,3230.0,modern_estimate,HASSALL2000;IMPERIAL_ARMY,"Thirty legions and a large auxiliary establishment; central estimate excludes some non-combat support."
211,211 CE,450,380,520,8.0,5.5,10.5,3600.0,modern_estimate,HASSALL2000;IMPERIAL_ARMY,"Severan expansion to thirty-three legions; published totals vary from about 380,000 to roughly 500,000 depending on included forces."
284,284 CE,400,300,500,7.5,5.0,10.0,3000.0,modern_estimate,MACMULLEN1980;LATE_ARMY,"Late third-century reconstruction; paper strength, effective strength, and unit definitions diverge."
305,305 CE,450,350,550,7.5,5.0,10.0,3375.0,modern_estimate,MACMULLEN1980;LATE_ARMY,"Diocletianic establishment; larger totals partly reflect more numerous smaller units."
350,350 CE,500,400,650,7.0,4.5,9.5,3500.0,modern_estimate,MACMULLEN1980;ELTON1996,"Combined field and frontier forces across the empire; high uncertainty."
395,395 CE,500,400,650,6.5,4.0,9.0,3250.0,modern_estimate,ELTON1996;LATE_ARMY,"Combined eastern and western establishments at the administrative division."
425,425 CE,375,275,500,6.0,3.5,8.5,2250.0,reconstruction,ELTON1996;HEATHER2005,"Modeled decline in effective combined strength as the West loses revenue and field forces."
476,476 CE,225,150,325,6.0,3.5,8.5,1350.0,reconstruction,ELTON1996;HEATHER2005,"Eastern army plus small western remnants at the end of the western imperial court."
500,500 CE,150,100,220,6.0,3.5,8.5,900.0,reconstruction,ELTON1996;HEATHER2005,"Eastern Roman army only; the Roman state continues from Constantinople."
