kind,system,start_year,end_year,display_date,place,measure,value,relation,unit,label,evidence_type,source_keys,interpretation,limits
timeline,Public institutions,-3941,-3377,3941–3377 cal BCE,Shakhi Kora,institutional_sequence,,bounded_95_4_percent,date_range,Institutional food production and distribution,radiocarbon_bounded_excavation,GLATZ_ET_AL2025,"Successive supra-household food-production and distribution spaces show that durable public institutions developed outside the southern Uruk core.","The 95.4% radiocarbon span bounds several phases; it is not the duration of one building or proof of a state."
timeline,Political inference,-3800,-3300,c. 3800–3300 BCE,Uruk,emergent_state_interpretation,,approximate_range,date_range,Urbanization and emergent state formation,scholarly_synthesis,SELZ2020,"Selz treats this as the main period of Uruk urbanization and state formation.","The same synthesis says the sources do not unequivocally demonstrate monocratic governance. This is an interpretive period, not a recovered constitutional date."
timeline,Record-keeping,-3500,-3500,mid-fourth millennium BCE,Greater Mesopotamia,cylinder_seal_adoption,,approximate_date,circa_date,Cylinder seals in use,archaeological_synthesis,KELLEY_CARTOLANO_FERRARA2025,"Cylinder seals and sealed clay devices expanded a pre-literate administrative repertoire before proto-cuneiform.","Mid-fourth millennium is a broad dating phrase; sealing did not have one function or originate at one site."
timeline,Urban scale,-3400,-3000,late fourth millennium BCE,Uruk,monumental_urban_core,,period_range,date_range,Several-hundred-hectare city with monumental core,archaeological_synthesis,GLATZ_ET_AL2025,"Uruk had grown from a modest village to several hundred hectares and contained numerous monumental structures, extensive record-keeping, and redistribution.","Surface footprint, monumentality, and institutional control are related evidence—not interchangeable definitions of a state."
timeline,Record-keeping,-3350,-3000,c. 3350–3000 BCE,Uruk,proto_cuneiform_attestation,,approximate_range,date_range,Proto-cuneiform tablets,archaeological_attestation,KELLEY_CARTOLANO_FERRARA2025,"The surviving script makes administrative classification and accounting directly visible.","Many signs remain contested; first attestation is not necessarily the date of invention."
footprint,Urban scale,-3100,-3100,c. 3100 BCE,Uruk,settlement_footprint,250,approximate,hectares,Uruk footprint,archaeological_survey_summary,EMBERLING_ET_AL2023,"Published approximate occupied area at the close of the fourth millennium.","Edges may include or omit lower-density occupation; footprint is not population."
footprint,Urban scale,-2900,-2900,early third millennium BCE,Uruk,settlement_footprint,400,approximate,hectares,Uruk footprint,archaeological_survey_summary,EMBERLING_ET_AL2023,"Published approximate occupied area in the early third millennium.","The source notes that many southern city-size estimates depend on older survey or imagery and on how edges are defined."
context,Urban scale,-4400,-3800,LC 1–2,Tell Brak,settlement_footprint,55,approximate,hectares,Northern urban hub,comparative_survey_synthesis,LAWRENCE_WILKINSON2015,"Tell Brak reached an estimated 55 hectares before its later expansion.","LC phases are broad; site footprint can contain discontinuous or low-density areas."
context,Urban scale,-3800,-3000,LC 3 and Uruk periods,Tell Brak,settlement_footprint,130,approximate,hectares,Expanded northern hub,comparative_survey_synthesis,LAWRENCE_WILKINSON2015,"Published survey synthesis gives a later footprint of about 130 hectares.","The date range is phase-level and the occupied area was not necessarily uniform through the whole interval."
context,Urban scale,-4400,-3000,Late Chalcolithic,Tell al-Hawa,settlement_footprint,50,approximate,hectares,Northern center,comparative_survey_synthesis,LAWRENCE_WILKINSON2015,"A further large northern settlement shows that early urban trajectories were plural.","The broad Late Chalcolithic label prevents annual comparison with Uruk."
context,Urban scale,-4200,-3800,LC 1–2,Khirbet al-Fakhar,settlement_footprint,300,approximate,hectares,"Sparse, discontinuous settlement",comparative_survey_synthesis,MCMAHON2020,"A very large but low-density and short-lived scatter preceded Uruk's 250-hectare city.","The occupation was sparse, discontinuous, and possibly seasonal; total footprint alone does not make it comparable to a densely occupied city."
