kind,system,start_year,end_year,display_date,place,measure,value,relation,unit,label,evidence_type,source_keys,interpretation,limits
timeline,Local environment,-7750,-4900,7750–4900 cal BCE,M38 borehole,freshwater_environment,,not_applicable,date_range,Freshwater persisted near the Uruk–Larsa region,borehole_microfossil_and_sediment_proxy,ALTAWEEL_ET_AL2019,"Diatoms, sponges, plants, and sediments indicate a long freshwater history in a low-lying part of the southern alluvium.","The core predates Uruk's late-fourth-millennium urban peak and samples one location; it is environmental context, not a map of Uruk's canals."
timeline,Local environment,-7750,-4900,7750–4900 cal BCE,M38 borehole,shifting_ecological_mosaic,,not_applicable,date_range,Marsh riparian overbank and floodplain settings alternated,borehole_microfossil_and_sediment_proxy,ALTAWEEL_ET_AL2019,"The same core records changing wetland, river-edge, crevasse-splay or overbank, and drier floodplain conditions rather than one fixed habitat.","The sequence is reconstructed from proxy assemblages and does not date individual river courses."
context,Regional climate,-9700,-4000,early to mid-Holocene,Regional proxies,wetter_regional_context,,not_applicable,date_range,Broadly wetter regional conditions,regional_palaeoclimate_synthesis,ALTAWEEL_ET_AL2019,"Regional speleothem and other proxy records provide a broad wetter backdrop for early and mid-Holocene landscape development.","This is not a continuous rainfall series for Uruk and the contributing proxies have temporal and geographic gaps."
context,Regional climate,-3000,-1000,after the fourth millennium BCE,Regional proxies,drier_regional_context,,not_applicable,date_range,Generally drier regional conditions,regional_palaeoclimate_synthesis,ALTAWEEL_ET_AL2019,"The synthesis describes a generally drier trend after the end of the fourth millennium BCE.","A regional tendency does not determine local river flow, marsh extent, irrigation, or a single settlement outcome."
context,Urban context,-3800,-3300,c. 3800–3300 BCE,Uruk,urban_state_formation_interval,,not_applicable,date_range,Principal urbanization and emergent-state interval,scholarly_synthesis,SELZ2020,"This interval situates Uruk's principal urban and political transformation relative to the environmental and canal evidence.","It is a scholarly interpretation rather than a directly dated waterwork or a constitutional threshold."
timeline,Direct waterwork,-2900,-2600,2900–2600 BCE deposits below canal,Girsu,canal_archaeological_context,,not_applicable,date_range,Early Dynastic deposits constrain an early canal sequence,archaeological_stratigraphy_and_radiocarbon,EGBERTS_ET_AL2023,"Ceramics below an earlier canal deposit date to 2900–2600 BCE, while charcoal constrains a later phase in the excavated canal system.","The evidence is later than Uruk's principal fourth-millennium expansion and belongs to Girsu, not Uruk. Freshwater reservoir effects complicate shell dates."
timeline,Textual evidence,-2475,-2315,c. 2475–2315 BCE,Lagash,developed_irrigation_terminology,,not_applicable,date_range,Fully developed irrigation terminology appears in texts,textual_attestation,EGBERTS_ET_AL2023,"Early Dynastic IIIb and Presargonic records from the Lagash region provide the earliest textual evidence cited here for a developed irrigation network and terminology.","First surviving terminology is not the date irrigation began; the textual corpus is later than Uruk's urban peak."
map_boundary,Remote-sensed landscape,,,mixed ages,Mesopotamian alluvium,palaeochannel_palimpsest,,not_applicable,undated,Visible palaeochannels form a mixed-age palimpsest,remote_sensing_and_ground_truthing,JOTHERI_ET_AL2025,"CORONA and other imagery preserve traces of many abandoned channels across the alluvial plain.","The lines are not one simultaneous network and cannot be labeled as a 3300 BCE map without direct dating. Modern channels are orientation only."
network_summary,Preserved network,-6000,-1000,sixth to early first millennium BCE,Eridu region,primary_canals,200,more_than,count,Primary or large canals,remote_sensing_and_archaeological_survey,JOTHERI_ET_AL2025,"More than 200 primary canals are visible in the unusually preserved Eridu region.","The inventory combines features associated with many occupations across millennia; they did not all operate simultaneously."
network_summary,Preserved network,-6000,-1000,sixth to early first millennium BCE,Eridu region,branch_canals,4000,more_than,count,Minor or branch canals,remote_sensing_and_archaeological_survey,JOTHERI_ET_AL2025,"More than 4000 minor or branch canals reveal dense local distribution beyond the main channels.","The inventory combines features associated with many occupations across millennia; it is not a fourth-millennium Uruk network."
network_summary,Preserved network,-6000,-1000,sixth to early first millennium BCE,Eridu region,farms,700,more_than,count,Farms,remote_sensing_and_archaeological_survey,JOTHERI_ET_AL2025,"More than 700 farms are associated with the preserved irrigation landscape.","The farms and canals accumulated across many occupations and are not a simultaneous census. Ancient marsh extent remains unreconstructed."
