region,region_slug,latitude,longitude,clock,start_year,end_year,display_date,place,observation,evidence_status,source_keys,interpretation,limits
Mesopotamia,mesopotamia,31.32,45.64,urban_scale,-3500,-3100,c. 3500–3100 BCE,Uruk,Urban-scale settlement and monumental core,published_synthesis,SPENCER2010;EMBERLING_ET_AL2023,"Uruk became a city at a scale without a close contemporary in southern Mesopotamia; a published synthesis places its footprint near 250 hectares around 3100 BCE.","The range combines a process-level synthesis with one footprint anchor; it is not an annual growth series or a population estimate."
Mesopotamia,mesopotamia,31.32,45.64,political_centralization,-3500,-3300,c. 3500–3300 BCE,Uruk and Susiana,State institutions and territorial administration,scholarly_inference,SPENCER2010;SELZ2020,"Administrative institutions and regional expansion support an inference of early state formation during the later fourth millennium BCE.","Selz finds no unequivocal evidence for monocratic rule. State formation is an interpretation, not a recovered constitution or one coronation date."
Mesopotamia,mesopotamia,31.32,45.64,durable_notation,-3350,-3000,c. 3350–3000 BCE,Uruk,Proto-cuneiform tablets,archaeological_attestation,KELLEY_CARTOLANO_FERRARA2025,"Surviving tablets make durable numerical and sign-based administration directly visible.","First attestation is not necessarily invention; many signs remain contested and the archive is a filtered survival."
Egypt,egypt,25.10,32.78,urban_scale,-3500,-3200,c. 3500–3200 BCE,Hierakonpolis,Settlement nucleation and urban concentration,published_synthesis,MOELLER2015,"Hierakonpolis anchors a later Predynastic phase of concentrated settlement and public activity before political unification was complete.","Alluvial burial and later occupation obscure the full settlement edge; visible hectares are not a census or a universal city threshold."
Egypt,egypt,25.10,32.78,political_centralization,-3400,-3100,c. 3400–3100 BCE,Upper Egypt and the Nile Valley,Expansion from competing centers toward territorial rule,scholarly_inference,SPENCER2010,"Political consolidation proceeded through a long Naqada II–III sequence, with southern expansion preceding the conventional unification horizon.","The range avoids treating Narmer or 3100 BCE as one uncontested birthday for the Egyptian state."
Egypt,egypt,25.10,32.78,durable_notation,-3250,-3250,c. 3250 BCE,Abydos Tomb U-j,Early inscribed labels and signs,archaeological_attestation,REGULSKI2016,"Labels from Tomb U-j show an early notation system with limited phonetic writing in an elite administrative context.","These short labels are not continuous discourse, and the date is phase-level rather than an exact year."
Indus,indus,27.33,68.14,urban_scale,-2600,-1900,c. 2600–1900 BCE,Harappa and Mohenjo-daro,Mature Harappan urban system,published_settlement_synthesis,GREEN_PETRIE2018,"Large planned centers and a dense regional settlement system define the Mature Harappan urban phase.","Settlement distributions changed within this long phase; the range is not a claim of constant size or one synchronized founding event."
Indus,indus,27.33,68.14,political_centralization,-2600,-1900,c. 2600–1900 BCE,Indus region,Large-scale coordination without a recovered ruling class,contested_inference,SPENCER2010;GREEN2020,"Shared standards and coordinated urban systems support large-scale governance, while the form and concentration of political authority remain debated.","No comparable palaces royal tombs or individual-aggrandizing monuments have identified a ruling class; this row does not invent kings or a unification date."
Indus,indus,27.33,68.14,durable_notation,-2600,-1900,c. 2600–1900 BCE,Indus cities and exchange networks,Indus signs on seals tablets and objects,undeciphered_attestation,WELLS2015,"A durable sign system circulated across the Mature Harappan world and is conventionally treated as the Indus script.","The system remains undeciphered; sign sequences do not supply readable political chronicles or a secure account of language."
Northern China,northern-china,35.50,111.50,urban_scale,-2300,-1900,c. 2300–1900 BCE,Taosi,Large walled political and urban center,scholarly_inference,HE2018,"Taosi is interpreted as an early urban political center in the middle Yellow River region.","Its political status and relationship to later states remain interpretive; one site does not date all northern Chinese urbanism."
