network_id,link_id,from_node,to_node,material,link_class,evidence_status,display_date,observation,source_keys,limits
one-cargo,cyprus-uluburun,aplike,uluburun,copper,analytical_connection,analytical_provenance,1320 ± 15 BCE,"Uluburun's copper belongs to the Cypriot oxhide-ingot system identified through lead-isotope analysis.",STOS_GALE_ET_AL1997;MANNING_ET_AL2009,"The line joins source compatibility to the wreck; it is not the ship's reconstructed sailing route."
one-cargo,britain-uluburun,cornwall,uluburun,tin,provenance_hypothesis,plausible_but_unresolved,Late 14th century BCE,"South-west British tin is one plausible source for part of the cargo in the 2023 reassessment.",BERGER_ET_AL2023,"The source remains unresolved and the straight line is not a proposed direct route."
one-cargo,mushiston-uluburun,mushiston,uluburun,tin,rejected_hypothesis,rejected_specific_match,Late 14th century BCE,"Mušiston was proposed in 2022 and rejected as a specific match in the 2023 reassessment.",POWELL_ET_AL2022;BERGER_ET_AL2023,"The rejected connection must not be read as evidence for a route; other eastern deposits remain possible."
one-cargo,taurus-uluburun,taurus,uluburun,tin,contested_hypothesis,contested_candidate,Late 14th century BCE,"The Taurus lead signal may reflect processing or added lead rather than the geological source of the tin.",POWELL_ET_AL2022;BERGER_ET_AL2023,"The link visualizes an active provenance hypothesis, not a confirmed ore-to-wreck connection."
copper-reach,aplike-cyprus,aplike,cyprus,copper,analytical_distribution,analytical_provenance,14th century BCE and later,"One analyzed find region in the published 78-ingot comparison.",STOS_GALE_ET_AL1997,"Distribution link, not a direct route or shipment count."
copper-reach,aplike-crete,aplike,crete,copper,analytical_distribution,analytical_provenance,14th century BCE and later,"One analyzed find region in the published 78-ingot comparison.",STOS_GALE_ET_AL1997,"Distribution link, not a direct route or shipment count."
copper-reach,aplike-greece,aplike,greece,copper,analytical_distribution,analytical_provenance,14th century BCE and later,"One analyzed find region in the published 78-ingot comparison.",STOS_GALE_ET_AL1997,"Distribution link, not a direct route or shipment count."
copper-reach,aplike-sardinia,aplike,sardinia,copper,analytical_distribution,analytical_provenance,14th century BCE and later,"One analyzed find region in the published 78-ingot comparison.",STOS_GALE_ET_AL1997,"Distribution link, not a direct route or shipment count."
copper-reach,aplike-turkey,aplike,turkey,copper,analytical_distribution,analytical_provenance,14th century BCE and later,"One analyzed find region in the published 78-ingot comparison.",STOS_GALE_ET_AL1997,"Distribution link, not a direct route or shipment count."
copper-reach,aplike-bulgaria,aplike,bulgaria,copper,analytical_distribution,analytical_provenance,14th century BCE and later,"One analyzed find region in the published 78-ingot comparison.",STOS_GALE_ET_AL1997,"Distribution link, not a direct route or shipment count."
atlantic-tin,cornwall-salcombe,cornwall,salcombe,tin,local_comparator,analyzed_ingots,Later Bronze Age,"The south-west British finds anchor the local tin comparison.",BERGER_ET_AL2023;WILLIAMS_ET_AL2025,"The line marks analytical association within the source region, not a shipment itinerary."
atlantic-tin,cornwall-israel,cornwall,israel,tin,analytical_connection,three_method_provenance,14th–13th centuries BCE,"Three Israeli-coast shipwreck assemblages carry tin fully consistent with Cornwall and Devon ores.",WILLIAMS_ET_AL2025,"No direct connection is evidenced; the long line deliberately suppresses intermediate-route invention."
atlantic-tin,cornwall-sardinia,cornwall,sardinia,tin,possible_intermediary,network_hypothesis,c. 1500–1300 BCE,"Sardinia is one possible western Mediterranean relay in a down-the-line exchange network.",WILLIAMS_ET_AL2025;BERGER_ET_AL2023,"The connection is a hypothesis and is not required by the provenance data."
atlantic-tin,sardinia-israel,sardinia,israel,tin,possible_intermediary,network_hypothesis,c. 1500–1300 BCE,"Eastern connections make Sardinia a possible intermediary rather than a proven stop.",WILLIAMS_ET_AL2025;BERGER_ET_AL2023,"The connection is a hypothesis and is not a reconstructed voyage."
textual-hub,mari-ugarit,mari,ugarit,tin,archival_reference,textual_attestation,Early 2nd millennium BCE,"The Mari archive is the surviving witness for a transaction located at Ugarit.",SAUVAGE2017,"The line connects document to reported place, not two legs of a physical route."
textual-hub,ugarit-aegean,ugarit,aegean,tin,reported_exchange,textual_attestation,Early 2nd millennium BCE,"The text reports tin exchange at Ugarit involving Minoans and a translator.",SAUVAGE2017,"The line visualizes a reported relationship, not a known sailing path or cargo volume."
