region,region_slug,dimension,dimension_label,headline,observation,evidence_status,place,time_window,source_keys,interpretation,limits
Mesopotamia,mesopotamia,water,Water regime,Delta and marsh mosaic,"Freshwater marsh, riparian, overbank, and floodplain settings shifted across the southern alluvium; later preserved canals form a multi-period palimpsest rather than one simultaneous network.",mixed_environmental_reconstruction,Southern Mesopotamian alluvium,"late fifth–fourth millennia BCE context; environmental sequence begins earlier",ALTAWEEL_ET_AL2019;JOTHERI_ET_AL2025,"Urban growth drew on a moving deltaic landscape, not a fixed riverbank beside one engineered grid.","The borehole sequence predates Uruk's peak and the visible multi-period canal network is not a fourth-millennium map."
Mesopotamia,mesopotamia,rainfall,Rainfall dependence,River-fed lowland,"Southern production combined river and floodplain water with wetlands in a lowland where local rainfall alone could not sustain the same concentration.",regional_synthesis,Greater southern Mesopotamia,Later Chalcolithic synthesis,POURNELLE_ALGAZE2014,"Water availability came through the deltaic system rather than one predictable local rain season.","This is a regional ecological synthesis, not an annual rainfall series or proof that irrigation caused the state."
Mesopotamia,mesopotamia,crops,Crop strategy,Grain plus herds and wetlands,"Cereal fields coexisted with livestock, fish, fruit, reeds, and other marsh resources visible in archaeology and later archaic records.",mixed_archaeology_and_textual_synthesis,Southern Mesopotamia,Fourth millennium BCE with explicitly later textual comparators,POURNELLE_ALGAZE2014;ALIVERNINI_GRECO_WIDELL2026,"The food system was diversified even where grain became unusually useful to institutions.","Later texts illuminate resource variety but do not measure fourth-millennium dietary shares."
Mesopotamia,mesopotamia,transport,Transport,Channels and boats,"Delta channels connected fields, marshes, settlements, and the Gulf while supplying reeds, clay, fish, and waterborne movement.",regional_synthesis,Lower Mesopotamian delta,Later Chalcolithic synthesis,POURNELLE_ALGAZE2014,"Wetland mobility was part of the productive system, not merely a by-product of irrigation.","The source supports a deltaic transport ecology, not one reconstructed route network for every Uruk year."
Mesopotamia,mesopotamia,settlement,Settlement form,Large centers in a shifting delta,"Urban centers and their hinterlands occupied an unstable freshwater–marsh landscape whose waterways migrated through time.",mixed_environmental_and_urban_synthesis,Uruk–Larsa region,Fourth millennium BCE interpreted with longer environmental sequences,ALTAWEEL_ET_AL2019;POURNELLE_ALGAZE2014,"Concentration did not require the landscape to be static; institutions adapted to a moving lowland mosaic.","A regional model cannot recover the exact water edge or settlement density in one annual frame."
Egypt,egypt,water,Water regime,Narrow Nile floodplain,"Predynastic settlement occupied the Nile floodplain and its desert edge, where alluvium could both support and later bury occupation.",archaeological_synthesis,Hierakonpolis and Upper Egyptian Nile Valley,c. 3500–3200 BCE,MOELLER2015,"The river corridor concentrated productive land and settlement while complicating archaeological visibility.","Preserved desert-edge remains do not reveal the full alluvium-covered settlement or one uniform Nile regime."
Egypt,egypt,rainfall,Rainfall dependence,Floodplain over local rain,"Later Predynastic concentration depended on the Nile floodplain in an arid setting; reduced floods and drying are possible contextual pressures rather than a demonstrated trigger.",archaeological_synthesis,Upper Egypt,Later Predynastic,MOELLER2015,"Egypt's water clock was the river and floodplain, not dependable local rainfall.","The source does not establish a direct climate-to-urbanization causal chain or an annual flood series."
Egypt,egypt,crops,Crop strategy,Cereal agriculture,"Floodplain agriculture produced cereals and supported craft and other specialists at growing settlement centers.",archaeological_synthesis,Hierakonpolis,Later Predynastic,MOELLER2015,"Agricultural production helped sustain dense and differentiated communities along the river corridor.","Specialization does not reveal a total harvest, tax share, or centralized redistribution system."
Egypt,egypt,transport,Transport,River corridor,"Egyptian settlements favored riverine connections, making the Nile a movement corridor as well as a productive landscape.",archaeological_synthesis,Nile Valley,Predynastic and Early Dynastic synthesis,MOELLER2015,"Linear river connectivity linked settlements in a way unlike the broader mosaics of several other cases.","Preferred river access is not a reconstructed traffic volume or proof of central political control."
Egypt,egypt,settlement,Settlement form,Desert–floodplain edge,"Hierakonpolis nucleated into a denser visible settlement near the desert–floodplain margin while unknown portions may remain beneath alluvium.",archaeological_synthesis,Hierakonpolis,c. 3500–3200 BCE,MOELLER2015,"Settlement form reflected both access to the floodplain and preservation on higher desert-edge ground.","Visible hectares are not a census, and the buried settlement edge prevents a precise density comparison."
