row_type,slug,label,role,model_claim,uruk_evidence,chronology,evidence_class,source_keys,limits
resource,cereal-grain,Cereal grain,Focal crop in the 2022 model,"A seasonal above-ground harvest can be observed, measured, divided, transported, and stored. The model therefore treats cereals as unusually appropriable by an elite.","Proto-cuneiform accounts record grain alongside land, labor, animals, and other goods. Grain fits institutional accounting, but the archive does not reveal its share of total subsistence.",Global comparative model; direct Late Uruk archive,model_and_direct_archive,MAYSHAR_MOAV_PASCALI2022;ENGLUND2011;ORACC_DCCLT,"The model is comparative and global, not a test conducted at Uruk. Its cereal-versus-root binary omits other foods and institutions."
resource,roots-and-tubers,Roots and tubers,Counterfactual in the 2022 model,"Roots and tubers can remain underground, are less seasonal, contain more water, and are harder to transport and store. The model treats them as an exit option from appropriation.","This is not a recovered Uruk staple comparison. Roots and tubers function here only as the model's global counterfactual, not as evidence about what Uruk residents chose to grow.",Global comparative model only,model_counterfactual,MAYSHAR_MOAV_PASCALI2022,"A global crop counterfactual cannot establish a local fourth-millennium cause. Processing and storage practices can also change a food's appropriability."
resource,herd-animals,Herd animals,Resource omitted by the crop binary,"Animals are mobile and costly to maintain, which can make surveillance harder than for stationary fields. Yet herds can still be counted, transferred, and accumulated by institutions.","Archaic herd accounts and Uruk IV cattle receipts show direct institutional management. Much richer Ur III evidence later shows that livestock financed states while mobility and informal production created limits on control.",Direct Late Uruk archive; later Ur III comparison,mixed_direct_and_later_comparison,ALIVERNINI_GRECO_WIDELL2026;CORCORAN_TADD_ET_AL2023,"The detailed political-economy comparison is about Ur III, roughly a millennium after Uruk IV. It demonstrates a mechanism, not continuity at the same scale."
resource,fish-and-wetlands,Fish and wetlands,Resource omitted by the crop binary,"A delta can supply self-renewing protein and materials without the same bounded harvest as a cereal field. Fish can nevertheless be processed, transported, counted, and collected.","The southern deltaic economy combined farming, herding, and marsh exploitation. Archaic records distinguish fresh and dried fish, showing that wetland resources could enter durable institutional categories too.",Regional Late Chalcolithic landscape; archaic textual evidence,mixed_landscape_and_archive,POURNELLE_ALGAZE2014;ALIVERNINI_GRECO_WIDELL2026,"Regional ecology is not a caloric budget for Uruk. Surviving texts reveal institutional attention, not the total importance of fishing or gathering."
resource,fruit-orchards,Fruit and orchards,Durable counterexample outside the crop binary,"Perennial trees require fixed land, skilled labor, irrigation, and years of investment. Dried fruit can be stored and reassigned even though it is neither cereal nor tuber.","Uruk IV accounts total strings of dried fruit; the Uruk III Tree List includes date palm, grapevine, fig, and apple. Fruit cultivation therefore created another legible, durable institutional resource.",Direct Late Uruk IV–III textual evidence,direct_late_uruk_archive,ALIVERNINI_GRECO_WIDELL2026,"Lexical lists classify knowledge and do not prove production volume. Several sign readings remain uncertain, and the archive is not an orchard census."
test,original-study,Original comparative result,Supports a mechanism,"Mayshar, Moav, and Pascali report that cereal advantage predicts hierarchy across several global datasets while land productivity does not.","This makes cereal appropriability a serious hypothesis for state formation, not direct evidence that it caused Uruk.",Published 2022; global and multi-period,published_model,MAYSHAR_MOAV_PASCALI2022,"The authors acknowledge that the binary is simplistic and omits pulses, fruit, vegetables, fish, and animals."
test,published-comment,Published challenge,Narrows the causal claim,"Cook, Duprey, Heyes, and Pelli reproduce the main result but report that it holds for the tribe-or-chiefdom to state transition rather than hierarchy broadly.","They also find that a small set of outliers drives statistical significance, which disappears under modest trimming or winsorization.",Published 2026 comment on the 2022 study,published_critique,COOK_ET_AL2026,"This is a statistical critique of the global design, not an archaeological test at Uruk. The scholarly exchange remains active."
test,uruk-archive,What institutions recorded,Supports legibility—not monoculture,"Late Uruk records include grain, animals, dried fruit, fish, land, labor, and professional categories.","Cereals were legible to institutions, but they were not the only resources that administrators learned to classify and move.",Direct Late Uruk IV–III textual evidence,direct_archive,ENGLUND2011;ORACC_DCCLT;ALIVERNINI_GRECO_WIDELL2026,"The archive is selected by institutions, excavation, preservation, and decipherment. It cannot be read as a diet survey."
test,deltaic-economy,What the landscape supplied,Expands the subsistence picture,"Pournelle and Algaze reconstruct a resilient deltaic economy in which grain agriculture, livestock husbandry, and marsh exploitation reinforced one another.","The first southern cities drew on fields and on self-renewing fish, reeds, fodder, transport, and wetland labor.",Late Chalcolithic regional landscape synthesis,regional_synthesis,POURNELLE_ALGAZE2014;ALTAWEEL_ET_AL2019,"The evidence establishes ecological plurality, not the caloric or tax share of each resource at Uruk."
test,archive-bias,What archives miss,Warns against equating records with life,"A later Ur III comparison finds that state texts richly document formal herd systems while zooarchaeology reveals animal production that remained largely outside the archive.","Institutional visibility and economic importance are different variables. A resource can matter greatly without dominating official records.",Later Ur III comparative evidence,methodological_counterexample,CORCORAN_TADD_ET_AL2023,"Ur III is later and more centralized than Late Uruk. This row is a methodological warning, not a direct reconstruction of Uruk."
