thread_id,thread_order,thread_title,episode_id,episode_order,start_year,end_year,date_label,regime,relationship,observed_change,evidence,source_keys,limits
provinces,1,Province as a reusable unit,achaemenid_satrapies,1,-550,-330,ca. 550–330 BCE,Achaemenid,baseline,"Hierarchical territorial administrations linked royal appointees, local offices, taxation, recruitment, and crisis response.","Royal country lists, classical appointments, and administrative reconstruction",JACOBS2006_SATRAPIES,"Satrap and satrapy are imprecise Greek labels for offices and units at different levels."
provinces,1,Province as a reusable unit,alexander_restaffing,2,-330,-323,330–323 BCE,Alexander,retained,"Alexander preserved most eastern administrative structures, retaining some officials and replacing others with trusted appointees.","Appointments preserved in Alexander narratives and reconstructed against late Achaemenid administration",JACOBS2006_SATRAPIES;BRIANT1985_ALEXANDER,"Continuity of territorial machinery did not preserve Achaemenid sovereignty or an unchanged bureaucracy."
provinces,1,Province as a reusable unit,babylon_partition,3,-323,-301,323–301 BCE,Diadochi,reallocated,"The Babylon settlement distributed satrapies and left several Asian and Indian rulers in place.","Diodorus 18.3 lists assignments and explicitly says remaining Asian satrapies were not disturbed",DIODORUS_18_3_PARTITION,"A later Greek narrative records a political settlement, not a complete administrative register."
provinces,1,Province as a reusable unit,seleucid_upper_satrapies,4,-305,-141,ca. 305–141 BCE,Seleucid,adapted,"Seleucid kings governed large eastern provinces as Upper Satrapies while adding co-rule, cities, Greek institutions, and a new dynasty.","Scholarly synthesis of Seleucid political geography and administration",STROOTMAN2015_SELEUCID_EMPIRE,"Rough territorial correspondence is not proof of unchanged borders, staffing, fiscal practice, or local administration."
army,2,Army as a coalition interface,achaemenid_coalition,1,-480,-330,480–330 BCE,Achaemenid,baseline,"Regional formations were connected to senior command, supply, and campaign plans without becoming one uniform military system.","Herodotus, Xenophon, Arrian, and the regional Persepolis administrative archive",HERODOTUS_7_21_99;XENOPHON_ANABASIS_1;ARRIAN_ANABASIS_3_8_13,"The window is not a continuous force series and accepts no ancient headline army total."
army,2,Army as a coalition interface,alexander_integration,2,-331,-323,331–323 BCE,Alexander,experiment,"Iranian commanders and cavalry entered Macedonian command structures; at Opis, Persian and Median units received Macedonian unit names.","Later Arrian narrative of appointments and the Opis settlement",ARRIAN_7_6_11_OPIS;BRIANT1985_ALEXANDER,"This was a contested late-reign experiment, not proof of a stable fusion policy or a successor-wide institution."
army,2,Army as a coalition interface,successor_divergence,3,-323,-301,after 323 BCE,Diadochi,stopped,"The successor settlement reallocated provinces and commands, but the evidence does not establish one inherited mixed imperial army.","Diodorus's partition narrative",DIODORUS_18_3_PARTITION,"Absence of a shared continuation in this comparison is not evidence that Iranian formations or practices disappeared."
scripts,3,Chancery writing became many scripts,imperial_aramaic,1,-550,-330,ca. 550–330 BCE,Achaemenid,baseline,"Imperial Aramaic supplied a portable chancellery language and script across distant provincial administrations.","Aramaic documents and epigraphic synthesis",HUMBACH1998_EPIGRAPHY;ALLEN_ET_AL2013_ARSHAMA,"Use varied by region; this does not imply one language displaced local written traditions."
scripts,3,Chancery writing became many scripts,provincial_branches,2,-330,-200,after 330 BCE,Post-Achaemenid,descended,"Provincial scribal styles diverged; Aramao-Iranian inscriptions in the east continued an administrative writing tradition under new states.","Epigraphic comparison of provincial styles and Aśokan-era inscriptions",HUMBACH1998_EPIGRAPHY,"Script descent is not institutional identity, and the surviving inscriptions are unevenly distributed."
scripts,3,Chancery writing became many scripts,persis_coin_bridge,3,-220,-100,late 3rd–2nd c. BCE,Persis,transformed,"Aramaic ductus and syntax on early Persis coins developed toward Middle Persian Pahlavi spellings.","Dated coin legends and paleographic sequence",HUMBACH1998_EPIGRAPHY;WIESEHOFER2000_FRATARAKA,"Coin legends are a narrow medium and do not reconstruct a complete chancery."
scripts,3,Chancery writing became many scripts,middle_iranian_scripts,4,-100,651,1st c. BCE–7th c. CE,Parthian and Sasanian,descended,"Middle Persian, Parthian, Sogdian, and Chorasmian scripts developed from regional Aramaic traditions with different rules.","Comparative Iranian epigraphy",HUMBACH1998_EPIGRAPHY,"The long range joins distinct regional lineages; it is not one standardized script or continuous archive."
persis,4,Local Persian rule recombined old forms,achaemenid_frataraka,1,-420,-410,420s–410s BCE,Achaemenid,baseline,"The title frataraka is documented for district heads below the satrap in Achaemenid Egypt.","Aramaic papyri naming provincial officials",WIESEHOFER2000_FRATARAKA,"An Egyptian administrative title does not by itself establish the later office held by Persis dynasts."
persis,4,Local Persian rule recombined old forms,seleucid_frataraka,2,-220,-160,late 3rd–mid-2nd c. BCE,Seleucid Persis,recombined,"Persis dynasts probably began as Seleucid representatives, used Aramaic legends, and stressed Achaemenid ties in coin imagery.","Numismatic chronology and iconographic synthesis",WIESEHOFER2000_FRATARAKA,"The title's reading and political status are debated; the dynasts did not initially claim empire-wide kingship."
persis,4,Local Persian rule recombined old forms,arsacid_persis_kings,3,-160,224,mid-2nd c. BCE–224 CE,Arsacid Persis,recombined,"Arsacid rulers left Persian dynasts in office with minting rights; later local rulers used the title king.","Numismatic sequence and regional political synthesis",WIESEHOFER2000_FRATARAKA,"Local coinage does not measure autonomy, territorial reach, or continuous descent from Achaemenid officeholders."
kingship,5,King of Kings was revived not inherited continuously,achaemenid_king_of_kings,1,-522,-330,522–330 BCE,Achaemenid,baseline,"Achaemenid royal inscriptions presented the ruler as great king and king of kings over multiple countries.","Old Persian royal inscriptions",AVESTA_OP_DB,"Royal titulature expresses a claim and hierarchy, not measured control over every named land."
kingship,5,King of Kings was revived not inherited continuously,hellenistic_gap,2,-330,-140,330s–140s BCE,Macedonian and Seleucid,gap,"This comparison does not plot a continuous Achaemenid title-line through the Macedonian and Seleucid dynasties.","Contrast between Achaemenid, Hellenistic, and later Arsacid titulature",DABROWA2016_PARTHIAN_KINGSHIP;STROOTMAN2015_SELEUCID_EMPIRE,"A plotted gap is a warning against direct inheritance, not a claim that Achaemenid royal memory vanished."
kingship,5,King of Kings was revived not inherited continuously,arsacid_revival,3,-140,224,late 2nd c. BCE–224 CE,Arsacid,revived,"Mithradates I introduced King of Kings late in his reign; from Mithradates II it was often used with new Arsacid genealogical claims and imagery.","Numismatic titulature and scholarly reconstruction of Parthian kingship",DABROWA2016_PARTHIAN_KINGSHIP,"The date and first use remain debated; revival was part of a new Arsacid ideology, not restored Achaemenid government."
kingship,5,King of Kings was revived not inherited continuously,sasanian_redesign,4,224,651,224–651 CE,Sasanian,redesigned,"Ardashir and Shapur made King of Kings of Iran and non-Iran a Sasanian imperial title tied to a new geography and religious-political vocabulary.","Royal inscriptions, coin legends, and kingship synthesis",DARYAEE2022_SASANIAN_KINGSHIP;SHAHBAZI2005_SASANIAN_DYNASTY,"The Sasanian title was a redesign with new terms and claims; shared wording does not prove an unchanged institution."
