year,display_year,event_type,event,what_changed,mechanism,source_keys,notes
395,395 CE,political division,The two imperial courts become enduring administrations,"Theodosius I's death left Honorius in the West and Arcadius in the East; cooperation continued, but revenue and command were now divided between courts.",administrative separation,HEATHER2005;ACOU_SAVING_EMPIRE,"A division of administration, not the end of one shared Roman world."
406,406 CE,external pressure,Armed groups cross the Rhine,"Vandals, Alans, and Sueves entered Gaul while the western government was already contesting power and frontiers.",war on the tax base,HEATHER2005;ACOU_SAVING_EMPIRE,"The conventional date is 31 December 406; the exact calendar year has been debated, but 406 is retained as the standard chronology used by the cited syntheses."
407,407 CE,civil war,Constantine III is acclaimed and crosses from Britain,"The usurpation redirected Roman troops and political attention into an internal war; effective central rule in Britain did not recover.",Roman resources fight Romans,HEATHER2005;ACOU_SAVING_EMPIRE,"This row does not imply that Britain vanished in one day; it marks the break in effective western central rule."
410,410 CE,capital shock,Alaric's army sacks Rome,"The sack was politically shocking, but neither the western court nor the Roman state ended in 410.",symbolic and material shock,HEATHER2005;ACOU_SAVING_EMPIRE,"Included to counter the classroom shorthand that Rome fell in a single sack."
418,418 CE,fiscal workaround,Visigoths settle in Aquitaine,"The court exchanged access to western resources for military cooperation, a way to obtain force when direct tax-funded recruitment was becoming harder.",land and treaty substitute for cash,HEATHER2005;ACOU_SAVING_EMPIRE,"The precise mechanics of fifth-century settlement remain disputed; this row does not encode a fixed fraction of tax or land transferred."
429,429 CE,external pressure,Vandals and Alans cross into Africa,"A western coalition entered provinces that supplied revenue and grain to the court and Italy.",threat to high-value provinces,HEATHER2005,"The crossing began a conquest process; it did not remove all African revenue in 429."
439,439 CE,territorial loss,Carthage and the richest African provinces are seized,"The western government lost direct access to Proconsularis and Byzacena and much of the revenue that sustained its field armies.",large fiscal-territorial shock,HEATHER2005,"Africa was a turning point inside a longer process, not a sufficient single cause of collapse."
442,442 CE,territorial settlement,Treaty recognizes Vandal control of the richest African provinces,"The settlement left the western court with damaged parts of Numidia and Mauretania while recognizing Vandal possession of Proconsularis and Byzacena.",fiscal loss becomes durable,HEATHER2005,"The remaining African tax base was further documented in the 445 law."
445,445 CE,fiscal evidence,The remaining African provinces receive a seven-eighths remission,"Valentinian III's law assessed Numidia and Mauretania Sitifensis at one-eighth of their former burden after public disaster and attacks.",surviving tax base sharply impaired,NOV_VAL_13;HEATHER2005,"The one-eighth figure applies to the law's named remaining provinces, not to all former western revenue."
461,461 CE,failed recovery,Majorian's African reconquest collapses before departure,"The western court lost a major attempt to reverse the African fiscal shock and Majorian was soon removed and killed.",recovery attempt fails,HEATHER2005;ACOU_SAVING_EMPIRE,"The West had periods of recovery; its outcome was not mechanically fixed in 439."
468,468 CE,failed recovery,The joint eastern-western expedition against the Vandals fails,"A large Roman attempt to recover Africa ended in defeat, leaving the western court without its strongest route back to a larger tax base.",recovery attempt fails,HEATHER2005,"The surviving evidence does not yield one secure expedition cost, so no cost is plotted."
476,476 CE,political ending,No western emperor is appointed after Romulus Augustulus,"Odoacer removed the western court's last emperor while the Roman imperial state continued from Constantinople.",western court ends; eastern state continues,HEATHER2005;ACOU_SAVING_EMPIRE,"476 is a useful political marker inside a long transformation, not the end of Roman people, law, or the eastern empire."
