system,year,display_year,kind,milestone,value,unit,evidence_type,source_keys,interpretation,limits
Roads,-312,312 BCE,event,Via Appia to Capua,,,dated infrastructure,ITINERE2025,Earliest securely dated road in the Itiner-e dataset,The network includes pre-Roman routes and many segments without secure construction dates
Roads,150,c. 150 CE,event,Empire-scale road network,,,historical reconstruction,ITINERE2025,Itiner-e maps roads around the empire near its maximum extent,The date is a network snapshot rather than the construction date of every segment
Roads,500,500 CE,event,Settlement association after western rule,,,empirical association,DALGAARD2022,Areas with denser Roman roads also show more settlement formation around 500 CE,Association is not proof that an intact Roman road caused every later settlement
Roads,150,c. 150 CE,metric,Mapped road network,299171.31,km,historical reconstruction,ITINERE2025,Total length in the 2024 static Itiner-e dataset,Coverage and certainty vary substantially by region
Roads,150,c. 150 CE,metric,Secondary roads,65.42,percent of mapped km,historical reconstruction,ITINERE2025,Most mapped length consists of secondary rather than main roads,Classification follows Itiner-e criteria and remains research-dependent
Roads,150,c. 150 CE,metric,Location known with certainty,2.737,percent of mapped km,historical reconstruction,ITINERE2025,Only a small share of route locations is classed as certain,The rest is conjectured or hypothesized rather than fabricated precision
Language,813,813 CE,event,Council of Tours,,,documented language policy,CAMBRIDGE_ROMANCE2021,Clergy were told to preach in rustic Romance or German so congregations could understand,The boundary between late Latin and early Romance is gradual and disputed
Language,842,842 CE,event,Strasbourg Oaths,,,surviving text,CAMBRIDGE_ROMANCE2021,An early extended witness to a Romance vernacular alongside Old High German,The surviving manuscript is later and the language remains transitional
Law,529,529 CE,event,First Justinianic Code,,,imperial codification,OXFORD_JUSTINIAN,Imperial constitutions were gathered into a new code,The first edition does not survive
Law,534,534 CE,event,Revised Code and completed corpus,,,imperial codification,OXFORD_JUSTINIAN,The eastern Roman state issued the surviving revised Code after the Digest and Institutes,The modern label Corpus Iuris Civilis is later
Law,1070,c. 1070 CE,event,Digest revived in western study,,,scholarly reception,OXFORD_ROMAN_LAW,Recovery of Justinian's Digest helped restart systematic Roman-law study in northern Italy,The text had little western influence for centuries and reception was creative rather than simple copying
Law,1149,by 1149 CE,event,Roman law studied at Oxford,,,institutional reception,OXFORD_ROMAN_LAW,Oxford records Roman-law study by the mid-twelfth century,One university date does not measure adoption across Europe
State,324,324 CE,event,Constantinople founded as imperial capital,,,political chronology,KALDELLIS2023,The eastern Roman story begins with the new imperial capital,Foundation did not instantly create a separate empire
State,395,395 CE,event,Durable eastern imperial government,,,political chronology,KALDELLIS2023,A distinct eastern court and state apparatus endured after the fifth-century western losses,Contemporaries still understood a Roman imperial order rather than a modern Byzantine nation-state
State,476,476 CE,event,Western imperial office ends,,,political chronology,KALDELLIS2023,The last western emperor was removed while the eastern Roman state continued,476 was not the end of the Roman empire
State,1204,1204 CE,event,Constantinople captured and state fragmented,,,political chronology,KALDELLIS2023,Roman successor governments survived the Fourth Crusade and Latin occupation,Continuity after 1204 was contested and territorially fragmented
State,1261,1261 CE,event,Imperial government returns to Constantinople,,,political chronology,KALDELLIS2023,The Palaiologan court recovered the capital,Restoration did not recover the earlier empire's scale
State,1453,1453 CE,event,Constantinople falls,,,political chronology,KALDELLIS2026,The Ottoman conquest ended the Roman imperial state,Legal linguistic and infrastructural afterlives continued beyond the state
