region,region_slug,milestone,start_year,end_year,display_date,place,observation,evidence_status,source_keys,interpretation,limits
Mesopotamia,mesopotamia,urban_scale,-3500,-3100,c. 3500–3100 BCE,Uruk,Urban-scale settlement and monumental core,published_synthesis,SPENCER2010;EMBERLING_ET_AL2023,"Uruk became a city at a scale without a close contemporary in southern Mesopotamia; a published synthesis places its footprint near 250 hectares around 3100 BCE.","The range combines a process-level synthesis with one footprint anchor; it is not an annual growth series or a population estimate."
Mesopotamia,mesopotamia,political_centralization,-3500,-3300,c. 3500–3300 BCE,Uruk and Susiana,State institutions and territorial administration,scholarly_inference,SPENCER2010;SELZ2020,"Administrative institutions and regional expansion support an inference of early state formation during the later fourth millennium BCE.","Selz finds no unequivocal evidence for monocratic rule. State formation is an interpretation, not a recovered constitution or one coronation date."
Mesopotamia,mesopotamia,durable_notation,-3350,-3000,c. 3350–3000 BCE,Uruk,Proto-cuneiform tablets,archaeological_attestation,KELLEY_CARTOLANO_FERRARA2025,"Surviving tablets make durable numerical and sign-based administration directly visible.","First attestation is not necessarily invention; many signs remain contested and the archive is a filtered survival."
Mesopotamia,mesopotamia,monumental_building,-3400,-3000,late fourth millennium BCE,Uruk,Several-hundred-hectare city with monumental core,archaeological_synthesis,GLATZ_ET_AL2025,"Numerous monumental structures were part of Uruk's late-fourth-millennium urban concentration.","Monumentality, urban scale, and state organization are related evidence but not interchangeable definitions."
Mesopotamia,mesopotamia,bronze,-3000,-2200,c. 3000–2200 BCE,West Asia,From sustained selected use to a significant metalwork share,regional_metallurgical_synthesis,WILLIAMS_ET_AL2025,"Sustained tin-bronze use appeared in selected West Asian object classes around 3000 BCE; by about 2200 BCE it formed a significant share alongside arsenical copper in several regions.","This West Asian transition is not a Mesopotamian invention date or universal adoption curve; rare occurrence, selected use, widespread use, and full adoption are different thresholds."
Egypt,egypt,urban_scale,-3500,-3200,c. 3500–3200 BCE,Hierakonpolis,Settlement nucleation and urban concentration,published_synthesis,MOELLER2015,"Hierakonpolis anchors a later Predynastic phase of concentrated settlement and public activity before political unification was complete.","Alluvial burial and later occupation obscure the full settlement edge; visible hectares are not a census or a universal city threshold."
Egypt,egypt,political_centralization,-3400,-3100,c. 3400–3100 BCE,Upper Egypt and the Nile Valley,Expansion from competing centers toward territorial rule,scholarly_inference,SPENCER2010,"Political consolidation proceeded through a long Naqada II–III sequence, with southern expansion preceding the conventional unification horizon.","The range avoids treating Narmer or 3100 BCE as one uncontested birthday for the Egyptian state."
Egypt,egypt,durable_notation,-3250,-3250,c. 3250 BCE,Abydos Tomb U-j,Early inscribed labels and signs,archaeological_attestation,REGULSKI2016,"Labels from Tomb U-j show an early notation system with limited phonetic writing in an elite administrative context.","These short labels are not continuous discourse, and the date is phase-level rather than an exact year."
Egypt,egypt,monumental_building,-3400,-3200,late Naqada II–early Naqada III,Hierakonpolis Locality 29A,Early ceremonial monumental building,archaeological_synthesis,MOELLER2015,"A ceremonial building at Hierakonpolis is an early monumental construction before Egypt's later stone-building tradition.","Moeller describes it as a kind of monumental building; truly large-scale mud-brick or stone architecture is not visible there until the Early Dynastic period."
Egypt,egypt,bronze,-2890,-2686,Second Dynasty c. 2890–2686 BCE,Egypt,Rare laboratory-identified bronze objects,rare_attestation,UCL_DIGITAL_EGYPT_METAL,"Several bronze objects are known from the Second Dynasty, showing alloy use before it became common.","Visual appearance and object date cannot identify an alloy without analysis; bronze remained uncommon until the Middle Kingdom and became common only from the New Kingdom."
