key,author_or_source,title,year,url,use_in_model
CORNELL1995,T. J. Cornell,The Beginnings of Rome,1995,https://www.routledge.com/The-Beginnings-of-Rome-Italy-and-Rome-from-the-Bronze-Age-to-the-Punic-Wars-c1000-264-BC/Cornell/p/book/9780415015967,"Early Republican levy scale and institutions."
EARLY_ARMY,Secondary synthesis,Early Roman army,accessed 2026,https://en.wikipedia.org/wiki/Early_Roman_army,"Orientation to disputed early levy reconstructions; not treated as a primary anchor."
POLYBIUS2_24,Polybius,Histories 2.24,c. 150 BCE,https://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus%3Atext%3A1999.01.0234%3Abook%3D2,"225 BCE forces deployed and men registered as liable across Rome and the Italian allies."
POLYBIUS6,Polybius,Histories Book 6,c. 150 BCE,https://sourcebooks.fordham.edu/ancient/polybius6.asp,"Legion organization and citizen service obligations."
ACOU_SOCII,Bret Devereaux,How to Roman Republic 101: Addenda — The Socii,2023,https://acoup.blog/2023/10/20/collections-how-to-roman-republic-101-addenda-the-socii/,"Allied manpower ratios and interpretation of the 225 BCE census."
ACOU_MAIL,Bret Devereaux,Phalanx’s Twilight — Handfuls of Maniples,2024,https://acoup.blog/2024/02/16/collections-phalanxs-twilight-legions-triump-part-iib-handfuls-of-maniples/,"Mail prevalence chronology; 5–10 kg finished mail; Roman helmet weights."
ACOU_METAL,Bret Devereaux,Fireside Friday: The Book Project,2022,https://acoup.blog/2022/10/28/fireside-friday-october-28-2022-the-book-project/,"Roman kit contained about 25% more worked metal than the nearest comparison in Devereaux’s model."
ACOU_PILUM,Bret Devereaux,Roman Infantry Tactics: Why the Pilum and not a Spear?,2023,https://acoup.blog/2023/11/24/collections-roman-infantry-tactics-why-the-pilum-and-not-a-spear/,"Cost and iron intensity of Roman armor and pila after c. 225 BCE."
ACOU_GLADIUS,Bret Devereaux,The Journey of the Roman Gladius and Other Swords,2024,https://acoup.blog/2024/01/05/collections-the-journey-of-the-roman-gladius-and-other-swords/,"Mail as standard legionary armor by the first century BCE."
LIVY25_LEGIONS,Livy and modern synthesis,Second Punic War force count,212 BCE,https://en.wikipedia.org/wiki/Roman_army_of_the_mid-Republic,"Twenty-five legions in service in 212–211 BCE; converted here with an explicit unit-strength range."
BRUNT1971,P. A. Brunt,Italian Manpower 225 B.C.–A.D. 14,1971,https://global.oup.com/academic/product/italian-manpower-225-bc-ad-14-9780198142836,"Republican citizen and allied manpower; basis for broad non-anchor ranges."
CIVIL_WAR_LEGIONS,Modern synthesis,Caesar's Civil War forces,accessed 2026,https://en.wikipedia.org/wiki/Caesar%27s_civil_war,"Approximate number of legions distributed among Roman factions; converted with wide ranges."
TACITUS4_5,Tacitus,Annals 4.5,c. 115 CE,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Tacitus/Annals/4A*.html,"Disposition of the imperial forces under Tiberius."
CAMPBELL1994,J. B. Campbell,The Roman Army 31 BC–AD 337: A Sourcebook,1994,https://www.routledge.com/The-Roman-Army-31-BC-AD-337-A-Sourcebook/Campbell/p/book/9780415071734,"Imperial unit establishment and institutional chronology."
HASSALL2000,Mark Hassall,The Army in The Cambridge Ancient History XI,2000,https://doi.org/10.1017/CHOL9780521263351.013,"Principate army estimates including the c. 380,000 Severan estimate."
IMPERIAL_ARMY,Secondary synthesis,Imperial Roman army,accessed 2026,https://en.wikipedia.org/wiki/Imperial_Roman_army,"Unit-count cross-check and bibliography for Principate totals."
MACMULLEN1980,Ramsay MacMullen,How Big Was the Roman Imperial Army?,1980,https://doi.org/10.1524/klio.1980.62.12.451,"Late imperial army-size problem and competing totals."
ELTON1996,Hugh Elton,Warfare in Roman Europe AD 350–425,1996,https://global.oup.com/academic/product/warfare-in-roman-europe-ad-350-425-9780198150077,"Late Roman military establishment and effective-force uncertainty."
LATE_ARMY,Secondary synthesis,Late Roman army,accessed 2026,https://en.wikipedia.org/wiki/Late_Roman_army,"Cross-check and bibliography for late imperial estimates."
HEATHER2005,Peter Heather,The Fall of the Roman Empire,2005,https://global.oup.com/academic/product/the-fall-of-the-roman-empire-9780195159547,"Fifth-century western military-fiscal contraction and eastern continuity."
