polity,year,display_year,soldiers_thousands,evidence_grade,event,source_keys,notes
Achaemenid Empire,-480,480 BCE,50,modern_minimum,Xerxes' invasion force,XERXES2025,"Hyland's logistical reconstruction supports at least 50,000 combatants; this is a floor, not the whole imperial establishment."
Macedonian Empire,-334,334 BCE,47,ancient_report_with_modern_synthesis,Alexander crosses into Asia,ALEXANDER334,"Approximately 40,000 infantry and 7,000 cavalry entering Asia."
Gallic coalition,-225,225 BCE,70,ancient_report,Telamon,POLYBIUS_TELAMON,"Polybius reports about 50,000 infantry and 20,000 cavalry and chariots; this coalition was not a Gallic state or standing army."
Carthage,-255,255 BCE,16,ancient_report,Bagradas River,POLYBIUS_BAGRADAS,"Polybius reports 12,000 infantry and 4,000 cavalry under Xanthippus."
Carthage,-218,218 BCE,102,ancient_report,Hannibal's initial expedition,POLYBIUS_HANNIBAL,"Initial army in Iberia before Hannibal detached forces and suffered Alpine losses; not the army that arrived in Italy."
Carthage,-216,216 BCE,50,ancient_report,Cannae,POLYBIUS_CANNAE,"Roughly 40,000 infantry and 10,000 cavalry."
Ptolemaic Kingdom,-217,217 BCE,75,ancient_report_disputed,Raphia,POLYBIUS_RAPHIA;OCD_RAPHIA,"Polybius reports 70,000 infantry and 5,000 cavalry; the infantry total is disputed."
Seleucid Empire,-217,217 BCE,68,ancient_report,Raphia,POLYBIUS_RAPHIA;OCD_RAPHIA,"Polybius reports 62,000 infantry and 6,000 cavalry."
Seleucid Empire,-190,190 BCE,70,ancient_report,Magnesia,POLYBIUS_MAGNESIA,"Ancient order-of-battle total, rounded; not a standing establishment."
Parthian Empire,-53,53 BCE,10,ancient_report_disputed,Carrhae,PLUTARCH_CARRHAE,"Plutarch's figure may describe Surena's personal levy rather than the full Parthian force."
Sasanian Empire,359,359 CE,100,ancient_report_disputed,Siege of Amida,AMMIANUS_AMIDA;HOWARD_JOHNSTON,"Ammianus reports 100,000; the point preserves his claim rather than silently halving it, and the figure should not be treated as a full establishment."
