year,display_year,scenario,total_million_sestertii,category,amount_million_sestertii,source_keys,notes
150,c. 150 CE,low,832,Army,643,DUNCAN_JONES1994;MATTINGLY2011,"Published low scenario for central imperial expenditure; includes pay, discharge costs, and other military spending."
150,c. 150 CE,low,832,Other imperial servants,75,DUNCAN_JONES1994;MATTINGLY2011,"Central and provincial imperial personnel outside the army."
150,c. 150 CE,low,832,Handouts,44,DUNCAN_JONES1994;MATTINGLY2011,"Congiaria and related imperial distributions; this is not a modern welfare budget."
150,c. 150 CE,low,832,Buildings,20,DUNCAN_JONES1994;MATTINGLY2011,"Estimated central spending on imperial building projects."
150,c. 150 CE,low,832,Other,50,DUNCAN_JONES1994;MATTINGLY2011,"Residual central expenditure in Duncan-Jones's reconstruction."
150,c. 150 CE,high,983,Army,704,DUNCAN_JONES1994;MATTINGLY2011,"Published high scenario for central imperial expenditure; includes pay, discharge costs, and other military spending."
150,c. 150 CE,high,983,Other imperial servants,75,DUNCAN_JONES1994;MATTINGLY2011,"Central and provincial imperial personnel outside the army."
150,c. 150 CE,high,983,Handouts,44,DUNCAN_JONES1994;MATTINGLY2011,"Congiaria and related imperial distributions; this is not a modern welfare budget."
150,c. 150 CE,high,983,Buildings,60,DUNCAN_JONES1994;MATTINGLY2011,"Estimated central spending on imperial building projects."
150,c. 150 CE,high,983,Other,100,DUNCAN_JONES1994;MATTINGLY2011,"Residual central expenditure in Duncan-Jones's reconstruction."
215,c. 215 CE,low,1462,Army,1127,DUNCAN_JONES1994;MATTINGLY2011,"Published low scenario after Severan army expansion and pay increases; nominal sestertii are not purchasing-power comparable with 150 CE."
215,c. 215 CE,low,1462,Other imperial servants,75,DUNCAN_JONES1994;MATTINGLY2011,"Central and provincial imperial personnel outside the army."
215,c. 215 CE,low,1462,Handouts,140,DUNCAN_JONES1994;MATTINGLY2011,"Congiaria and related imperial distributions."
215,c. 215 CE,low,1462,Buildings,20,DUNCAN_JONES1994;MATTINGLY2011,"Estimated central spending on imperial building projects."
215,c. 215 CE,low,1462,Other,100,DUNCAN_JONES1994;MATTINGLY2011,"Residual central expenditure in Duncan-Jones's reconstruction."
215,c. 215 CE,high,1613,Army,1188,DUNCAN_JONES1994;MATTINGLY2011,"Published high scenario after Severan army expansion and pay increases; nominal sestertii are not purchasing-power comparable with 150 CE."
215,c. 215 CE,high,1613,Other imperial servants,75,DUNCAN_JONES1994;MATTINGLY2011,"Central and provincial imperial personnel outside the army."
215,c. 215 CE,high,1613,Handouts,140,DUNCAN_JONES1994;MATTINGLY2011,"Congiaria and related imperial distributions."
215,c. 215 CE,high,1613,Buildings,60,DUNCAN_JONES1994;MATTINGLY2011,"Estimated central spending on imperial building projects."
215,c. 215 CE,high,1613,Other,150,DUNCAN_JONES1994;MATTINGLY2011,"Residual central expenditure in Duncan-Jones's reconstruction."
