series,run,context,furnace_model,ore_kg,charcoal_kg,bloom_kg,bloom_status,air_and_operation,reported_observation,source_keys,limits
Meroe reconstruction,MS1,"Meroe, Sudan",Full-scale replica Meroitic furnace,41,105,4.325,recognizable bloom,"Natural draft followed by bellows; mixed doline and purple ore","Decent iron with viscous non-tapping slag","HUMPHRIS_ET_AL2018","A modern festival reconstruction using a particular replica furnace. Recovery was incomplete and biased toward larger material; inputs and bloom are not an ancient Meroitic production rate."
Meroe reconstruction,MS2,"Meroe, Sudan",Full-scale replica Meroitic furnace,30,100,0,no recognizable bloom,"Natural draft followed by bellows; humidity and blocked tuyeres complicated the run","Cast iron was noted but not quantified; no recognizable bloom","HUMPHRIS_ET_AL2018","Zero means no recognizable bloom was recovered, not that no metallic iron formed. Cast iron was observed but unquantified; the run is not an ancient failure rate."
Meroe reconstruction,MS3,"Meroe, Sudan",Full-scale replica Meroitic furnace,30,86.5,1.5,small bloom,"Oolitic ore; changed ore-to-fuel ratio and slower bellows protocol","A small bloom formed with slag closer to later Meroitic remains","HUMPHRIS_ET_AL2018","One experimental outcome with competing explanations involving ore and furnace atmosphere. It does not identify the exact ancient recipe or typical Meroitic yield."
Meroe reconstruction,MS4,"Meroe, Sudan",Full-scale replica Meroitic furnace,34,71.25,0,no recognizable bloom,"Layered precharge; poor tuyeres and a wet furnace lining","Tap slag formed but no bloom was identified","HUMPHRIS_ET_AL2018","Zero means no bloom was identified. The authors' best hypothesis was insufficient heat from a wet lining; this does not measure a general furnace or workforce failure rate."
Sehnde reconstruction,XP7,"Lower Saxony, Germany",Reusable experimental shaft,31,21.2,2.4,measured bloom,"Bog iron ore; 90 cm mobile shaft","2.4 kg total bloomery iron reported","HELMREICH_ET_AL2025","Modern experimental validation of one proposed early Roman-period furnace interpretation. The reported mass is bloomery iron before a standardized forging-loss comparison."
Sehnde reconstruction,XP8,"Lower Saxony, Germany",Reusable experimental shaft,24,25.4,1.7,measured bloom,"Bog iron ore; 70 cm mobile shaft","1.7 kg total bloomery iron reported","HELMREICH_ET_AL2025","Modern experiment with one furnace geometry and ore batch. It is not a representative ancient charcoal ratio or evidence for region-wide output."
Sehnde reconstruction,XP9,"Lower Saxony, Germany",Reusable experimental shaft,24,23.5,1.7,measured bloom,"Bog iron ore; 50 cm mobile shaft","1.7 kg total bloomery iron reported","HELMREICH_ET_AL2025","Modern experiment varying shaft height. Similar output does not isolate shaft height from ore, operation, slag, or other run-specific conditions."
Sehnde reconstruction,XP16,"Lower Saxony, Germany",Reusable experimental shaft,16.5,15.5,1.3,measured bloom,"Oxidized clay ironstone concretions; 70 cm shaft","1.3 kg total bloomery iron reported","HELMREICH_ET_AL2025","Modern experiment with a different ore class. Derived input-per-bloom ratios are descriptive of this run and are not ancient efficiencies."
Sehnde reconstruction,XP19,"Lower Saxony, Germany",Reusable experimental shaft,14.5,15,0.7,measured bloom,"Oxidized clay ironstone concretions; 70 cm shaft","0.7 kg total bloomery iron reported","HELMREICH_ET_AL2025","Modern experiment; a smaller recovered bloom can reflect multiple interacting choices and losses. It is not evidence for a universal low-yield recipe."
Sehnde reconstruction,XP20,"Lower Saxony, Germany",Reusable experimental shaft,12,14.5,0.02,trace bloom,"Mixed bog iron ore and iron seepages; 70 cm shaft","0.02 kg total bloomery iron reported","HELMREICH_ET_AL2025","The published trace output makes a per-kilogram ratio mathematically extreme. The interface labels it as a trace rather than using it to set the chart scale or infer ancient waste."
Sehnde reconstruction,XP22,"Lower Saxony, Germany",Reusable experimental shaft,23.9,30,1.85,measured bloom,"Oxidized clay ironstone concretions; 70 cm shaft","1.85 kg total bloomery iron reported","HELMREICH_ET_AL2025","Modern experimental validation with run-specific ore and operation. Input and bloom masses omit woodland area, charcoal-making losses, labor, and later smithing fuel."
