year,display_year,series,measure,value,unit,scope,destination,evidence_type,source_keys,notes
-123,123 BCE,grain_distribution,monthly_grain_allotment,5,modii_per_month,"Eligible Roman recipient or household; the beneficiary unit is disputed",Urban grain supply,modern_synthesis_of_ancient_sources,ACOU_BREAD_CIRCUSES;ACOU_GRACCHI2,"Gaius Gracchus systematized a subsidized sale rather than inventing Roman grain intervention."
-123,123 BCE,grain_distribution,subsidized_grain_price,6.333,asses_per_modius,"Grain sold under the lex Sempronia frumentaria",Eligible Roman citizens,ancient_report_with_modern_synthesis,ACOU_BREAD_CIRCUSES;ACOU_GRACCHI2,"The price is preserved in Livy's summary; it was below market, not free."
-70,c. 70 BCE,provincial_tax,sicilian_grain_tithe,10,percent_of_harvest,"Tithe-paying Sicilian land under the lex Hieronica",Roman state and military supply,ancient_source_with_modern_synthesis,CICERO_VERRES3;ACOU_PROVINCES,"A provincial agricultural levy in kind; it was not an empire-wide uniform land-tax rate."
6,6 CE,military_treasury,founding_endowment,170,million_sestertii,"Augustus's one-time transfer from his patrimony",Veteran discharge payments,primary_self_report,RES_GESTAE17,"A capital endowment, not annual tax revenue. Augustus says the treasury paid rewards after twenty or more years of service."
6,6 CE,military_treasury,inheritance_tax,5,percent_of_taxable_inheritance,"Bequests outside exempt close relations or poor beneficiaries",Military treasury,ancient_report,DIO55_25;OXFORD_TAX_PRINCIPATE,"An earmarked citizen tax that helped finance veteran discharge payments."
6,6 CE,military_treasury,auction_tax,1,percent_of_auction_value,"Goods sold at auction; the rate later changed",Military treasury,ancient_report_with_scholarly_synthesis,TACITUS1_78;OXFORD_TAX_PRINCIPATE,"Assigned to the military treasury; it should not be generalized to every sale in every province."
14,14 CE,legionary_pay,annual_base_pay,900,sestertii_per_year,"Common legionary before deductions",Serving legionary,scholarly_reconstruction,TACITUS1_17;SPEIDEL1992,"Tacitus reports roughly ten asses per day; Speidel reconstructs the annual stipend as 900 sestertii."
84,c. 84 CE,legionary_pay,annual_base_pay,1200,sestertii_per_year,"Common legionary before deductions",Serving legionary,scholarly_reconstruction,SPEIDEL1992,"Domitianic pay scale; nominal money should not be read as purchasing power."
100,c. 1st–3rd centuries CE,customs,quadragesima_galliarum,2.5,percent_of_declared_value,"Goods crossing the Gallic customs district",Imperial customs revenue,scholarly_synthesis,OXFORD_PORTORIA;OXFORD_TAX_PRINCIPATE,"A well-attested regional rate, not a universal customs regime for the empire."
197,197 CE,legionary_pay,annual_base_pay,2400,sestertii_per_year,"Common legionary before deductions",Serving legionary,scholarly_reconstruction,SPEIDEL1992,"Septimius Severus's pay scale. Evidence after 197 is too uncertain for this dataset to extend the series."
