century,year_start,year_end,estimated_manuscripts,region,source_keys,limits
6,500,599,13552,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
7,600,699,10639,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
8,700,799,43702,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
9,800,899,201742,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
10,900,999,135637,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
11,1000,1099,212030,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
12,1100,1199,768721,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
13,1200,1299,1761951,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
14,1300,1399,2746951,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Modeled production corrected from surviving manuscripts and not literacy or readership
15,1400,1499,4999161,Western Europe,BURINGH_VANZANDEN2009_BOOKS,Manuscripts only and printed-book production is separate
