record_id,sort_order,kind,system_role,start_year,end_year,date_label,title,evidence_class,observed_evidence,source_keys,interpretation,limits
interstate_pressure,1,system,Pressure,-453,-221,453–221 BCE,Interstate competition,peer-reviewed synthesis,"Warring States wars increasingly mobilized governments and regional administrations around larger territorial and logistical demands.","TONG2026_QIN_LOGISTICS;LANDER2023_QIN_ECOLOGY","Competition rewarded institutions able to find and redirect grain, labor, soldiers, and information over larger areas.","This is a period-level mechanism, not a frequency series or proof that war alone caused state formation; Qin is better documented than its rivals."
registered_households,2,system,Count,-400,-200,4th–3rd centuries BCE,Register households,excavated-document synthesis,"Household registration developed gradually across the competing states; Qin records tracked household members, land, status, obligations, and future labor or military eligibility.",LANDER2023_QIN_ECOLOGY,"A registered household connected people directly to taxes, corvée, and military service instead of routing every obligation through aristocratic kin groups.","The surviving evidence does not supply one empire-wide census total or prove uniform enforcement in every county."
ranked_service,3,system,Reward,-350,-217,4th–3rd centuries BCE,Channel reward into farming and war,transmitted doctrine plus excavated-law synthesis,"The Book of Lord Shang advocates concentrating advancement on agriculture and warfare; later excavated evidence shows rank, land, reward, and service rules operating in Qin, at least in documented areas.","PINES2017_LORD_SHANG;BOOK_LORD_SHANG_COLUMBIA;LANDER2023_QIN_ECOLOGY","Ranked rewards made dangerous military service and taxable farming routes to status outside inherited aristocratic privilege.","The Book of Lord Shang is a layered fourth–third-century policy text, not a verbatim decree by one reformer; doctrine cannot by itself prove implementation."
county_accounts,4,system,Report,-222,-208,222–208 BCE,Make counties report,excavated local administration,"The Liye county archive contains registers of households, conscript labor, equipment, taxes, debts, embankments, boundary markers, boats, tools, fines, and other registers.",LANDER2023_QIN_ECOLOGY,"County bureaus turned local people and materials into reportable categories that higher officials could redirect without moving everything to the capital.","Liye is an unusually rich frontier-county archive, not a complete sample of every Qin office or proof that reports matched reality."
assigned_transfer,5,system,Supply,-224,-220,224–220 BCE,Move soldiers and stores,excavated letters and administrative documents,"A private letter places two Nan Commandery soldiers in the Huaiyang campaign in 224–223 BCE; Liye documents record four commanderies sending armor and weapons toward the metropolitan area in 220 BCE.",TONG2026_QIN_LOGISTICS,"Campaigns depended on horizontal transfers among regional units and vertical transfers between counties, commanderies, and the center.","The surviving documents reveal selected transfers and shortages, not total campaign supply, delivery success, or accepted army size."
conquest_han,6,conquest,Conquest,-230,-230,230 BCE,Han conquered,retrospective annals,"The Qin annals place the destruction of Han and conversion of its territory into Yingchuan Commandery in King Zheng's seventeenth year.",SHIJI_QIN_ANNALS,"The first final conquest immediately became an administrative problem, not only a battlefield result.","The Shiji was compiled under the Han about a century later; the row gives a political endpoint, not a continuous territorial boundary or army total."
conquest_zhao,7,conquest,Conquest,-228,-228,228 BCE,Zhao court captured,retrospective annals,"The Qin annals place the capture of the Zhao king and main Zhao court in King Zheng's nineteenth year.",SHIJI_QIN_ANNALS,"Qin removed a major rival while surviving Zhao resistance regrouped at Dai.","Dai survived until 222 BCE, so this endpoint does not mean every Zhao-aligned force or locality disappeared in 228 BCE."
conquest_wei,8,conquest,Conquest,-225,-225,225 BCE,Wei conquered,retrospective annals,"The Qin annals place the fall of Wei in King Zheng's twenty-second year after Wang Ben attacked its capital.",SHIJI_QIN_ANNALS,"A third rival was removed while Qin continued operating across recently conquered territory.","The annalistic date is not a reconstruction of campaign logistics, local submission, or population loss."
conquest_chu,9,conquest,Conquest,-223,-223,223 BCE,Chu court defeated,retrospective annals,"The Qin annals place the capture of the Chu king and defeat of the principal Chu regime in King Zheng's twenty-fourth year.",SHIJI_QIN_ANNALS,"Defeating the largest remaining rival required another campaign and then governance of heterogeneous new territories.","The political endpoint does not imply homogeneous control or erase later resistance in former Chu lands."
conquest_yan,10,conquest,Conquest,-222,-222,222 BCE,Yan and Dai ended,retrospective annals,"The Qin annals place the capture of the Yan king and the ruler of Dai in King Zheng's twenty-fifth year.",SHIJI_QIN_ANNALS,"The northern sequence closed surviving Yan and Zhao successor courts one year before Qi's surrender.","One dated endpoint does not establish an annual boundary map, local pacification, or the size of the forces involved."
conquest_qi,11,conquest,Conquest,-221,-221,221 BCE,Qi surrendered,retrospective annals,"The Qin annals place the submission of Qi and the end of the six-state conquest sequence in King Zheng's twenty-sixth year.",SHIJI_QIN_ANNALS,"The final rival court fell after a sequence beginning in 230 BCE; unification created a larger administration rather than ending coercion or resistance.","The date marks dynastic-political unification, not uniform social integration or a timeless boundary for China."
