region,region_slug,route_slug,route_label,input,coordinator,outcome,observation,evidence_status,place,time_window,source_keys,interpretation,limits
"Mesopotamia","mesopotamia","archive-accounting","Archive accounting","Grain · land · labor","Proto-cuneiform accounts","Visible obligations and allocations","The surviving archaic accounts record quantities of grain, fields, labor, and institutional transactions in a formal bookkeeping system.","direct_archive_evidence","Uruk","late fourth millennium BCE","ENGLUND2011;ORACC_DCCLT","Institutions made selected resources and obligations legible enough to administer across transactions.","The archive is a selected institutional record, not a census of production, consumption, taxes, or everyone who worked."
"Mesopotamia","mesopotamia","institutional-kitchens","Institutional kitchens","Food · vessels · fuel","Supra-household production buildings","Repeated communal provisioning","At Shakhi Kora, four Late Chalcolithic phases contain repeated evidence for supra-household food production and distribution inside institutional buildings.","archaeological_sequence","Shakhi Kora, Upper Diyala","late fifth–early fourth millennium BCE","GLATZ_ET_AL2025","Provisioning could assemble people through institutional households before an enduring centralized state emerged.","Food production does not reveal exact rations, labor status, or coercion; the sequence ended in deliberate dismantling and dispersal."
"Mesopotamia","mesopotamia","mixed-provisioning","Mixed provisioning","Grain · herds · fish · fruit","Households and institutions","A broader resource portfolio","Deltaic synthesis and archaic records preserve grain, livestock, fish, dried fruit, and trees rather than one cereal-only economy.","mixed_synthesis_and_archive","Southern Mesopotamia","Late Chalcolithic with later textual comparanda","POURNELLE_ALGAZE2014;ALIVERNINI_GRECO_WIDELL2026","Coordination drew on complementary field, herd, marsh, and orchard systems as well as grain accounting.","The cuneiform examples span different phases and genres; later records are not fourth-millennium quantities or diet shares."
"Mesopotamia","mesopotamia","standard-vessels","Standard vessels","Prepared food or grain","Mass-produced bevel-rim bowls","Repeatable portions at scale","A widely repeated vessel form could have supported institutional provisioning, but experiments and contexts leave its contents and use debated.","contested_material_inference","Greater Mesopotamia","fourth millennium BCE","CHAZAN_LEHNER1990","Repeatable containers can lower coordination costs even when the transaction behind them is not recoverable.","Bowl counts do not prove grain wages, forced labor, slavery, one standard volume, or a single function across every site."
"Egypt","egypt","industrial-brewing","Industrial brewing","Grain · fuel · water","Specialized brewery installations","Food beyond one household","Predynastic brewery complexes at Hierakonpolis produced beyond the needs of one household and required regular supplies of ingredients and firewood.","archaeological_synthesis","Hierakonpolis","c. 3500–3400 BCE and related phases","MOELLER2015","Large food installations imply division of labor and support for people not continuously engaged in farming.","Production capacity and worker numbers cannot be estimated precisely, and a brewery does not by itself identify a tax or ration system."
"Egypt","egypt","specialist-workshops","Specialist workshops","Stone · clay · skill","Dedicated production areas","Concentrated craft output","Pottery, stone, and food workshops occupied distinct parts of the Predynastic settlement, some at industrial scale.","archaeological_synthesis","Hierakonpolis","Naqada I–II","MOELLER2015","Spatially concentrated workshops coordinated inputs, skills, and consumers beyond ordinary household production.","Specialization does not establish full-time status for every worker or direct control by a king, temple, or centralized bureaucracy."
"Egypt","egypt","mortuary-provisioning","Mortuary provisioning","Ceramics · beer · labor","Elite cemetery-linked production","Specialized ritual supply","One pottery area near the HK6 elite cemetery produced vessels as funerary goods, while nearby brewing and halls suggest episodic mortuary provisioning.","contextual_inference","Hierakonpolis HK6 and HK11C","early Naqada II","MOELLER2015","Elite ritual could focus specialized production without requiring that every workshop served the same institution.","The brewery's exact purpose remains a question, and proximity does not prove a complete centrally managed mortuary economy."
"Egypt","egypt","river-trade-network","River and exchange network","Floodplain crops · craft goods","River transport and long-distance ties","Connections beyond one settlement","Late Predynastic nucleation coincided with craft specialization and exchange networks along a narrow connected floodplain.","published_synthesis","Nile Valley and Hierakonpolis","from c. 3400 BCE","MOELLER2015","Transport and exchange connected producers and concentrated settlements alongside—not instead of—local food production.","The synthesis supplies no traffic volume, market share, or proof that one authority directed the entire Nile exchange network."
"Indus","indus","shared-weights","Shared weights","Goods of unlike mass","Commensurate weight units","Comparable quantities across distance","Indus communities used a standardized weight system across a very large region.","material_standardization","Greater Indus region","Mature Harappan, c. 2600–1900 BCE","GREEN_ALAM_PETRIE2026","Common measures let strangers and communities compare quantities without requiring one visible palace bureaucracy.","Standardization shows a shared protocol; it does not identify who enforced it, how uniformly it was used, or whether exchange was market-based."
"Indus","indus","seal-protocols","Seal protocols","Goods · identities · transactions","Shared seal-making conventions","Portable transaction protocols","Standardized seals and sealings probably helped coordinate exchange across Indus communities.","scholarly_inference","Indus cities and networks","Mature Harappan, c. 2600–1900 BCE","GREEN_ALAM_PETRIE2026","Portable protocols could coordinate exchange across distance even though the sign system remains unreadable.","Probable exchange use is an inference; undeciphered signs do not reveal contracts, offices, taxes, owners, or transaction volumes."
