polity,segment,anchor_year,elapsed_years,area_million_km2,share_of_series_peak,source_keys,source_page,note
Achaemenid Persia,Achaemenid growth,-580,0,0.50,9.09,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,121,First published anchor in the selected growth series.
Achaemenid Persia,Achaemenid growth,-550,30,2.50,45.45,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,121,
Achaemenid Persia,Achaemenid growth,-539,41,3.60,65.45,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,121,
Achaemenid Persia,Achaemenid growth,-525,55,4.10,74.55,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,121,
Achaemenid Persia,Achaemenid growth,-500,80,5.50,100.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,121,Peak anchor used for the growth comparison.
Rome,Roman growth,-500,0,0.001,0.02,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,First published anchor in the selected growth series.
Rome,Roman growth,-326,174,0.01,0.20,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-264,236,0.13,2.60,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-200,300,0.36,7.20,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-150,350,0.65,13.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-146,354,0.80,16.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-133,367,1.05,21.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-100,400,1.20,24.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-75,425,1.30,26.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-50,450,1.95,39.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,-25,475,2.75,55.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,0,500,3.40,68.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,Year zero is a plotting convention between 1 BCE and 1 CE.
Rome,Roman growth,50,550,4.20,84.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,83,583,4.30,86.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,
Rome,Roman growth,117,617,5.00,100.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES,125,Peak anchor used for the growth comparison.
Western Han,Western Han growth,-206,0,2.80,46.67,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES;LEESE_MESSING2020_HAN,128,Han began at inherited Qin scale rather than from a city-state.
Western Han,Western Han growth,-176,30,2.10,35.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES;LEESE_MESSING2020_HAN,128,
Western Han,Western Han growth,-110,96,4.00,66.67,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES;LEESE_MESSING2020_HAN,128,
Western Han,Western Han growth,-80,126,5.70,95.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES;LEESE_MESSING2020_HAN,128,Tarim Basin control was much thinner than control in core regions.
Western Han,Western Han growth,-50,156,6.00,100.00,TAAGEPERA1979_GROWTH_CURVES;CHASE_DUNN2015_POLITY_SIZES;LEESE_MESSING2020_HAN,128,Peak anchor used for the growth comparison.
