district_id,sort_order,district_label,peoples,material,reported_amount,reported_unit,additional_obligation,source_keys,interpretation,limits
district_01,1,Western Anatolia,"Ionians; Magnesians; Aeolians; Carians; Lycians; Milyans; Pamphylians",silver,400,Babylonian talents,,HERODOTUS_3_89_97,Herodotus groups unlike peoples into one assessed district.,The literary schedule is not a surviving imperial account and the district is not assumed to be a satrapy.
district_02,2,Lydia and Mysia,"Mysians; Lydians; Lasonians; Cabalians; Hytennians",silver,500,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver assessment.,No population or effective burden survives.
district_03,3,Hellespont to Syria,"Hellespontians; Phrygians; Asian Thracians; Paphlagonians; Mariandynians; Syrians",silver,360,Babylonian talents,,HERODOTUS_3_89_97,One reported district spans several regions and peoples.,The list does not show internal allocation or collection practice.
district_04,4,Cilicia,Cilicians,silver,500,Babylonian talents,"360 white horses annually; of the silver 140 talents supported the local cavalry guard and 360 went to Darius",HERODOTUS_3_89_97,Cilicia makes the mixed portfolio visible because cash horses and retained local expenditure coexist.,The horses and silver cannot be collapsed into one comparable value.
district_05,5,Levant and Cyprus,"Phoenicians; Palestine Syrians; Cypriots",silver,350,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a regional silver district.,The schedule does not measure port traffic or prosperity.
district_06,6,Egypt and neighboring Libya,"Egyptians; Libyans; Cyrenaeans; Barcaeans",silver,700,Babylonian talents,Grain for the Persian garrison at Memphis,HERODOTUS_3_89_97;DANDAMAYEV2000_TAXATION,The obligation combines silver with military provisioning.,The translated grain measure and effective incidence are not reconstructed here.
district_07,7,Northwestern South Asia,"Sattagydae; Gandarii; Dadicae; Aparytae",silver,170,Babylonian talents,,HERODOTUS_3_89_97,A smaller reported silver assessment remains one item in the Greek schedule.,The figure is not a modern revenue observation.
district_08,8,Susa and Cissia,"Susa and the rest of Cissia",silver,300,Babylonian talents,,HERODOTUS_3_89_97,The imperial heartland appears inside the reported assessment list.,The text does not reveal household incidence.
district_09,9,Babylonia and Assyria,"Babylon and the rest of Assyria",silver,1000,Babylonian talents,500 boys to be made eunuchs,HERODOTUS_3_89_97;DANDAMAYEV2000_TAXATION;KLEBER2015_TAXATION,The largest reported silver assessment sits beside a coercive human levy; cuneiform evidence separately shows varied tax bases.,Herodotus and Babylonian documents are different evidence windows and are not treated as one ledger.
district_10,10,Media,"Media; Paricanians; Orthocorybantians",silver,450,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver district.,No tax rate or taxable base survives in the list.
district_11,11,Caspian peoples,"Caspii; Pausicae; Pantimathi; Daritae",silver,200,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver district.,The list supplies neither collection cadence nor local institutions.
district_12,12,Bactria,Bactrians to the Aegli,silver,360,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a broad eastern silver district.,Its boundary is textual and is not drawn as a precise polygon.
district_13,13,Armenia and Pactyica,"Pactyic country; Armenia; neighboring lands to the Black Sea",silver,400,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver district.,The grouping is not assumed to match later provincial boundaries.
district_14,14,Southeastern peoples,"Sagartii; Sarangeis; Thamanaei; Utii; Myci; southern-sea islanders",silver,600,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a heterogeneous assessed district.,The islanders cannot be securely mapped from this passage alone.
district_15,15,Sacae and Caspii,"Sacae; Caspii",silver,250,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver district.,Repeated ethnonyms do not provide modern administrative geography.
district_16,16,Northeastern Iran and Central Asia,"Parthians; Chorasmians; Sogdians; Arians",silver,300,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a broad eastern assessment.,The figure does not reveal tribute shares among peoples.
district_17,17,Paricanii and Asian Ethiopians,"Paricanii; Asian Ethiopians",silver,400,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a combined silver district.,Ancient ethnonyms and locations remain source-bounded.
district_18,18,Caucasus,"Matieni; Saspiri; Alarodii",silver,200,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver district.,The text does not support a precise territorial reconstruction.
district_19,19,Northeastern Anatolia,"Moschi; Tibareni; Macrones; Mossynoeci; Mares",silver,300,Babylonian talents,,HERODOTUS_3_89_97,Herodotus reports a pooled silver district.,No modern burden or revenue comparison is inferred.
district_20,20,India,Indians,gold_dust,360,Euboic talents,Gold dust rather than silver,HERODOTUS_3_89_97,India is reported in another material and unit and is therefore kept outside the silver bar scale.,Herodotus's own conversion is not a modern metal valuation or measured imperial receipt.
