series_id,site,excavation_series,designation,ratio,mean_g,sample_n,implied_unit_g,source_keys,limits
harp_a,Harappa,HARP,A,1,0.86,7,0.860,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_b,Harappa,HARP,B,2,1.78,13,0.890,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_d,Harappa,HARP,D,4,3.52,12,0.880,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_e,Harappa,HARP,E,8,6.61,8,0.826,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_f,Harappa,HARP,F,16,13.86,10,0.866,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_g,Harappa,HARP,G,32,26.70,7,0.834,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_h,Harappa,HARP,H,64,51.97,3,0.812,KENOYER2010_MEASURING,"One excavation series; mean mass is not an economy-wide tolerance rule."
harp_j,Harappa,HARP,J,160,120.81,4,0.755,KENOYER2010_MEASURING,"The four high-ratio observations depart most from the fitted unit; they remain visible rather than being discarded."
vats_a,Harappa,Vats,A,1,0.95,1,0.950,KENOYER2010_MEASURING,"Single specimen; the point is not a site mean with stable precision."
vats_b,Harappa,Vats,B,2,1.66,12,0.830,KENOYER2010_MEASURING,"Published excavation-series mean."
vats_d,Harappa,Vats,D,4,3.50,20,0.875,KENOYER2010_MEASURING,"Published excavation-series mean."
vats_e,Harappa,Vats,E,8,6.83,27,0.854,KENOYER2010_MEASURING,"Published excavation-series mean."
vats_f,Harappa,Vats,F,16,13.67,28,0.854,KENOYER2010_MEASURING,"Published excavation-series mean."
vats_g,Harappa,Vats,G,32,27.06,59,0.846,KENOYER2010_MEASURING,"Published excavation-series mean."
vats_h,Harappa,Vats,H,64,54.73,18,0.855,KENOYER2010_MEASURING,"Published excavation-series mean."
vats_j,Harappa,Vats,J,160,130.38,18,0.815,KENOYER2010_MEASURING,"Published excavation-series mean."
mackay_a,Mohenjo-daro,Mackay,A,1,0.87,5,0.870,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_b,Mohenjo-daro,Mackay,B,2,1.77,13,0.885,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_d,Mohenjo-daro,Mackay,D,4,3.43,31,0.858,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_e,Mohenjo-daro,Mackay,E,8,6.83,45,0.854,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_f,Mohenjo-daro,Mackay,F,16,13.73,91,0.858,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_g,Mohenjo-daro,Mackay,G,32,27.41,94,0.857,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_h,Mohenjo-daro,Mackay,H,64,54.36,23,0.849,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
mackay_j,Mohenjo-daro,Mackay,J,160,136.02,11,0.850,KENOYER2010_MEASURING;MARSHALL_HEMMY1931_WEIGHTS,"Published excavation-series mean."
