network_id,network_label,node_id,name,latitude,longitude,role,material,display_date,evidence_status,observation,source_keys,limits
one-cargo,One ship cargo,aplike,Apliki copper district,35.05,32.74,source,copper,14th century BCE,analytical_provenance,"Lead-isotope work links the copper in analyzed Late Bronze Age oxhide ingots, including the Uluburun assemblage, to Cypriot ore and especially the Apliki mining region.",STOS_GALE_ET_AL1997,"Ore compatibility is not a voyage log, and later research may refine which Cypriot mine or production stage supplied individual ingots."
one-cargo,One ship cargo,uluburun,Uluburun shipwreck,36.13,29.69,cargo_convergence,copper_and_tin,1320 ± 15 BCE,excavated_cargo,"The wreck carried approximately ten tonnes of copper and one tonne of tin as separate raw-metal cargoes.",HAUPTMANN_ET_AL2002;MANNING_ET_AL2009,"One exceptional wreck is not an annual trade total, a complete cargo manifest for the whole economy, or proof that every shipment used a ten-to-one ratio."
one-cargo,One ship cargo,cornwall,Cornwall and Devon tin province,50.35,-4.75,candidate_source,tin,Later Bronze Age,plausible_but_unresolved,"Chemical and isotopic similarities make south-west Britain a plausible source for part of the Uluburun tin cargo.",BERGER_ET_AL2023;WILLIAMS_ET_AL2025,"The 2023 reassessment calls this possible rather than incontrovertible; it does not establish a direct Britain-to-Uluburun route."
one-cargo,One ship cargo,mushiston,Mušiston,39.25,69.70,rejected_specific_source,tin,Late Bronze Age provenance debate,rejected_specific_match,"A 2022 study proposed Mušiston as a source for part of the cargo; a 2023 reanalysis argues that this specific polymetallic deposit cannot match the Uluburun tin.",POWELL_ET_AL2022;BERGER_ET_AL2023,"Rejecting Mušiston does not rule out every eastern tin source or solve the provenance of the complete cargo."
one-cargo,One ship cargo,taurus,Taurus and Bolkardağ region,37.35,34.65,candidate_source,tin,Late Bronze Age provenance debate,contested_candidate,"Lead in many ingots resembles ores in the Taurus region, but the lead may have entered during pooling or processing rather than identifying the tin ore itself.",POWELL_ET_AL2022;BERGER_ET_AL2023,"Lead association is not a secure tin-source match; Anatolian tin remains a less likely but not wholly excluded interpretation."
copper-reach,Cypriot copper reach,aplike,Apliki copper district,35.05,32.74,source,copper,14th century BCE and later,analytical_provenance,"Nearly 200 ore analyses provided a Cypriot baseline; 78 analyzed oxhide ingots were isotopically consistent with northern Cypriot ore, especially Apliki.",STOS_GALE_ET_AL1997,"The sample does not include every oxhide ingot, and analytical compatibility should not be drawn as a single known shipping route."
copper-reach,Cypriot copper reach,cyprus,Cyprus,35.13,33.43,find_region,copper,14th century BCE and later,analyzed_find_region,"Analyzed oxhide ingots from Cyprus fall within the northern Cypriot ore signature.",STOS_GALE_ET_AL1997,"This is a find-region summary within the published 78-ingot sample, not a count for Cyprus or a complete distribution inventory."
copper-reach,Cypriot copper reach,crete,Crete,35.24,24.81,find_region,copper,14th century BCE and later,analyzed_find_region,"Analyzed oxhide ingots found on Crete fall within the northern Cypriot ore signature.",STOS_GALE_ET_AL1997,"The connection is geochemical provenance, not a reconstructed direct sailing leg from Apliki to Crete."
copper-reach,Cypriot copper reach,greece,Greece,37.98,23.73,find_region,copper,14th century BCE and later,analyzed_find_region,"Analyzed oxhide ingots found in Greece fall within the northern Cypriot ore signature.",STOS_GALE_ET_AL1997,"The connection is geochemical provenance, not a reconstructed direct sailing leg or a total of Greek copper imports."
copper-reach,Cypriot copper reach,sardinia,Sardinia,40.00,9.05,find_region,copper,14th century BCE and later,analyzed_find_region,"Analyzed oxhide ingots found on Sardinia fall within the northern Cypriot ore signature.",STOS_GALE_ET_AL1997,"The connection is geochemical provenance, not a reconstructed direct sailing leg or proof of one centralized distribution system."
