case_id,link_id,region,latitude,longitude,material,evidence_class,observation,source_keys,limits
uluburun,uluburun-cyprus,Cyprus,35.05,33.20,copper,analytical_and_cargo,"Most of the roughly ten-tonne copper cargo is consistent with Cypriot ores; the wreck also held Cypriot pottery.",STOS_GALE_ET_AL1997;INA_ULUBURUN,"Ore compatibility and objects aboard do not reveal the loading port, intermediaries, ownership, or a direct Cyprus-to-wreck itinerary."
uluburun,uluburun-levant,Northern Levant,35.55,35.78,containers_and_hull,artifact_and_material,"At least 149 Canaanite jars and a Lebanese-cedar hull connect the ship materially to the Levant; personal effects support a Syro-Canaanite crew interpretation.",INA_ULUBURUN,"Container and timber origins are not identical to departure, crew ethnicity, ownership, or a complete voyage history."
uluburun,uluburun-egypt,Egypt,30.05,31.23,luxury_goods,diagnostic_artifact,"A unique gold scarab naming Nefertiti and other Egyptian-linked objects place Egypt inside the cargo's material world.",INA_ULUBURUN,"One diagnostic object may have circulated for years; it does not show that the ship sailed directly from or to Egypt."
uluburun,uluburun-aegean,Greek mainland,37.73,22.75,people_and_objects,personal_effects,"Personal effects and material culture led the excavators to infer several passengers from the Greek mainland.",INA_ULUBURUN,"Personal possessions support an interpretation of people aboard but cannot identify their names, legal status, boarding place, or destination."
cape-gelidonya,gelidonya-cyprus,Cyprus,35.05,33.20,metal,artifact_origin,"The cargo included scrap bronze tools identified as Cypriot alongside copper and tin prepared for reuse or alloying.",INA_GELIDONYA,"Object origin does not establish where the scrap was collected, where it would be worked, or that the ship itself was Cypriot."
cape-gelidonya,gelidonya-levant,Syro-Palestinian coast,34.65,35.80,tools_and_ceramics,typological_association,"Near Eastern artifacts and Syro-Palestinian-type stone mortars contribute to a Canaanite or Cypro-Levantine interpretation.",INA_GELIDONYA,"Typological association cannot securely assign the vessel, crew, owner, or voyage to one polity or ethnic category."
point-iria,iria-cyprus,Cyprus,35.05,33.20,transport_containers,direct_cargo,"The mixed cargo included several Cypriot pithoi and smaller Cypriot vessels.",POINT_IRIA_HIMA,"Containers may have carried vanished contents or other vessels; their origin does not prove the ship began its voyage in Cyprus."
point-iria,iria-crete,Crete,35.20,25.00,transport_containers,direct_cargo,"Cretan transport stirrup jars formed part of the surviving ceramic cargo.",POINT_IRIA_HIMA,"The jars indicate a Cretan production connection, not a measured stop, quantity of oil or wine, or exact loading port."
point-iria,iria-mainland,Mycenaean mainland,37.73,22.75,ceramics,direct_cargo,"Mainland Mycenaean storage and fine-ware vessels appeared beside the Cypriot and Cretan containers.",POINT_IRIA_HIMA,"The findspot lies in the Argolid, but the ceramics do not reveal the intended buyers, prior stops, or final destination."
kommos,kommos-cyprus,Cyprus,35.05,33.20,ceramics_and_copper,analytical_and_artifact,"Neutron activation supported Cypriot production for part of the targeted ceramic sample; a Cypriot pithos and copper-ingot fragments also reached Kommos.",TOMLINSON_RUTTER_HOFFMANN2010;KOMMOS_PROJECT,"The selected sample is not a count of all Cypriot goods, and neither pottery nor ingot fragments establish a direct voyage."
kommos,kommos-mainland,Mycenaean mainland,37.73,22.75,ceramics,analytical_provenance,"Neutron activation supported Mycenaean-sphere production for part of the targeted import sample.",TOMLINSON_RUTTER_HOFFMANN2010,"Regional chemical groups do not identify a named workshop, shipment frequency, carrier, or direct sailing."
kommos,kommos-levant,Syria-Palestine,34.65,35.80,transport_containers,artifact_origin,"Canaanite jars from the Syria-Palestine region reached houses at Kommos, often as containers for liquids or resin.",KOMMOS_PROJECT,"Container form and fabric do not recover every content, exchange step, or whether a vessel arrived directly from the Levant."
kommos,kommos-egypt,Egypt,30.05,31.23,transport_containers,artifact_origin,"Fragments of Upper- and Lower-Egyptian vessels occurred in Late Minoan contexts at the harbor.",KOMMOS_PROJECT,"The excavation project explicitly allows arrival either directly or through Cyprus; fragments cannot count ships or cargo volume."
hala-sultan-tekke,hst-aegean,Aegean,37.50,24.50,ceramics_and_luxury_goods,scientific_and_typological,"Imported pottery and luxury goods connect Hala Sultan Tekke with Aegean production contexts.",FISCHER2023;OEA_HALA_SULTAN,"Multiple contexts over several centuries do not yield a single route, annual flow, or one stable political relationship."
hala-sultan-tekke,hst-anatolia,Anatolia,38.20,32.30,imports,scientific_and_typological,"The excavated import portfolio includes material connected with Anatolia.",FISCHER2023;OEA_HALA_SULTAN,"A broad provenance region is not a named port, merchant, voyage, quantity, or proof of direct exchange."
hala-sultan-tekke,hst-north-levant,Northern Levant,35.55,35.78,imports,scientific_and_typological,"Northern Levantine material forms one part of the harbor city's interregional assemblage.",FISCHER2023;OEA_HALA_SULTAN,"The evidence joins find and provenance contexts but cannot reconstruct intermediate exchanges or simultaneous availability."
hala-sultan-tekke,hst-south-levant,Southern Levant,32.20,34.90,imports,scientific_and_typological,"Southern Levantine imports appear alongside material from other eastern Mediterranean regions.",FISCHER2023;OEA_HALA_SULTAN,"The category covers multiple production zones and periods; it is not a route or a volume series."
hala-sultan-tekke,hst-egypt,Egypt,30.05,31.23,imports_and_luxury_goods,scientific_and_typological,"Egyptian-linked pottery and luxury commodities reached the Cypriot harbor city.",FISCHER2023;OEA_HALA_SULTAN,"Objects may move through intermediaries and over time; provenance does not prove direct state-to-state trade."
hala-sultan-tekke,hst-sardinia,Sardinia,40.00,9.00,ceramics,diagnostic_import,"Nuragic pottery provides a rare material connection between Hala Sultan Tekke and Sardinia.",FISCHER2023;OEA_HALA_SULTAN,"A small imported category establishes contact but not frequency, direction, direct sailing, or the social identity of carriers."
